n;avg;min;max;standard_deviation
100;437.00;437;437;0.00
200;1029.00;1029;1029;0.00
300;1577.00;1577;1577;0.00
400;2232.00;2232;2232;0.00
500;3063.50;2773;3188;190.18
600;3550.00;3550;3550;0.00
700;4135.00;4135;4135;0.00
800;4833.00;4833;4833;0.00
900;5974.00;5974;5974;0.00
1000;5699.00;5699;5699;0.00
1100;6896.00;6896;6896;0.00
1200;7762.00;7762;7762;0.00
1300;8376.00;8376;8376;0.00
1400;9168.00;9168;9168;0.00
1500;9846.63;9588;10287;337.48
1600;10939.00;10939;10939;0.00
1700;11444.00;11444;11444;0.00
1800;12370.00;12370;12370;0.00
1900;13085.00;13085;13085;0.00
2000;13906.80;13644;14520;401.43
2100;15478.00;15478;15478;0.00
2200;15012.00;15012;15012;0.00
2300;16193.00;16193;16193;0.00
2400;16587.83;16330;17451;471.75
2500;17049.00;17049;17049;0.00
2600;17595.00;17595;17595;0.00
2700;19545.00;19545;19545;0.00
2800;20561.44;20550;20638;29.59
2900;21382.00;21382;21382;0.00
3000;21630.00;21630;21630;0.00
3100;21934.60;21845;22485;222.07
3200;23727.00;23727;23727;0.00
3300;23409.00;23287;23897;244.00
3400;24645.00;24645;24645;0.00
3500;26047.00;26047;26047;0.00
3600;25996.40;25760;26548;361.11
3700;27620.00;27620;27620;0.00
3800;27467.91;26996;28147;566.10
3900;29047.00;29047;29047;0.00
4000;29476.72;29347;29911;237.35
4100;31292.00;31292;31292;0.00
4200;31723.94;31443;32720;528.99
4300;32890.00;32890;32890;0.00
4400;34749.38;34315;34902;257.48
4500;33973.00;33973;33973;0.00
4600;34968.52;34568;35214;313.56
4700;35919.00;35919;35919;0.00
4800;35893.15;35302;36991;805.60
4900;36751.00;36751;36751;0.00
5000;37054.64;36878;37070;52.09
5100;39092.65;37558;39919;1126.13
5200;38781.00;38781;38781;0.00
5300;40723.50;39595;41120;668.92
5400;41913.04;40694;42298;685.04
5500;41094.00;41094;41094;0.00
5600;44216.76;43722;44373;278.03
5700;44432.04;44033;45409;624.38
5800;46492.00;46492;46492;0.00
5900;48367.60;47179;48594;518.75
6000;45778.35;44238;47661;1702.92
6100;48049.31;47830;48071;68.97
6200;48234.00;48234;48234;0.00
6300;51002.32;50053;51225;459.78
6400;48804.61;48732;48869;68.38
6500;52057.78;50635;52697;953.66
6600;54733.08;52729;54861;506.32
6700;51188.00;51188;51188;0.00
6800;52674.38;52413;54280;647.82
6900;54701.97;54141;54954;376.01
7000;55450.84;54959;55807;418.54
7100;55764.83;55253;56342;543.52
7200;57211.26;56379;58901;1185.88
7300;56774.45;56725;56940;90.48
7400;58629.90;58629;58635;2.14
7500;59376.57;56634;59583;752.43
7600;62486.00;62486;62486;0.00
7700;63267.00;63267;63267;0.00
7800;63594.55;63503;65334;399.06
7900;64093.95;64053;64638;149.26
8000;64706.84;64682;64709;7.32
8100;66458.08;64044;66668;711.87
8200;65719.60;65666;69000;358.90
8300;66107.04;64946;66208;342.37
8400;67884.92;67685;69113;495.50
8500;70101.95;69347;72942;1464.27
8600;69059.11;68607;70166;707.42
8700;72461.30;70845;75463;2202.65
8800;69958.93;69198;70817;808.04
8900;70803.54;69433;71796;1166.28
9000;74084.30;72244;74873;1204.76
9100;73031.08;72502;77359;1134.20
9200;75267.70;71512;76327;1994.60
9300;76520.94;73500;81246;3778.11
9400;76722.23;75081;79084;1968.81
9500;74613.19;74353;75592;504.65
9600;78372.82;75075;78893;1196.25
9700;81370.10;80909;82499;721.48
9800;79768.64;78536;81104;1282.97
9900;83031.75;82587;83180;256.78
10000;82958.19;78352;83542;1252.66
