n;avg;min;max;standard_deviation
100;1376.42;792;2481;374.80
200;3309.27;1600;5441;887.22
300;5465.08;2711;9638;1603.21
400;8495.89;3830;15234;2839.67
500;9980.01;5222;19195;3285.04
600;12169.31;6242;23518;4010.66
700;14803.11;7707;34731;5326.40
800;16934.91;8588;31844;5217.32
900;20276.95;9972;39498;6871.72
1000;21865.33;11638;48772;7519.75
1100;25453.35;12851;49797;7832.26
1200;29620.80;13818;65078;9644.55
1300;31076.72;16158;65557;11386.58
1400;34925.81;17146;66797;11665.76
1500;37628.03;18634;72547;11721.43
1600;38135.07;18433;68948;11898.02
1700;44968.86;22493;85177;15036.08
1800;44232.65;23778;94927;14643.47
1900;48578.24;24452;103873;17620.32
2000;53356.72;26476;106488;16856.01
2100;55601.12;26448;115419;19829.27
2200;55893.24;27823;116116;19299.00
2300;60039.80;29807;108665;18779.37
2400;66551.30;32932;130687;22566.26
2500;66551.24;32750;143419;21273.94
2600;66649.30;34793;133432;21344.44
2700;74117.00;34420;150531;24106.31
2800;73525.01;37230;134638;24450.80
2900;82792.11;40073;185727;30151.55
3000;80850.93;41142;181548;28984.55
3100;86589.51;41720;177741;30121.48
3200;88430.43;42843;159919;28604.32
3300;81558.11;44508;165905;26233.50
3400;94268.52;49429;209305;33386.83
3500;99189.39;49988;195880;33417.57
3600;104043.23;50507;210146;33907.37
3700;99813.25;53400;188033;30772.97
3800;110930.06;53045;226940;38257.48
3900;111695.64;53757;249017;41031.16
4000;108834.81;56909;251706;37307.93
4100;117770.70;58967;216062;37449.31
4200;117112.51;60962;217539;38703.90
4300;122330.03;61039;240976;42809.77
4400;126910.55;63319;229894;41988.38
4500;127510.52;64918;237496;40007.28
4600;142196.64;65373;290329;50990.06
4700;133548.60;66157;289404;47876.19
4800;130386.51;71322;230650;40249.01
4900;144608.00;71777;267806;45119.45
5000;150648.47;77230;336337;59599.81
5100;146183.02;75402;339832;50417.59
5200;155479.53;78035;376980;53218.73
5300;152391.31;76664;361160;57843.22
5400;157634.72;77672;307393;52905.89
5500;168001.49;80743;307969;52130.70
5600;156784.85;79689;305960;53860.10
5700;163264.14;81960;325355;50254.43
5800;167806.25;88865;423097;64907.59
5900;182717.28;85665;363498;67314.45
6000;179337.67;94418;376150;60469.50
6100;184528.66;92941;434308;73174.43
6200;194354.53;91614;349324;62420.34
6300;209907.91;93664;448373;74025.03
6400;181936.15;94129;500157;69869.29
6500;193455.78;96901;430411;67151.01
6600;207563.73;98870;404307;64545.84
6700;206662.18;99734;419044;69036.12
6800;202803.30;101744;480811;67496.30
6900;212348.01;108151;386814;76246.94
7000;229118.24;106617;477230;84837.50
7100;224274.60;103962;444056;74267.28
7200;201741.38;110020;445528;69174.26
7300;222033.93;113383;429027;81754.06
7400;233230.92;111903;457324;78334.92
7500;243194.46;115053;487340;92881.39
7600;240318.36;121006;511614;85769.35
7700;228000.56;118584;439831;71244.10
7800;249014.12;121191;497860;85391.79
7900;237222.62;122055;445622;75506.40
8000;233328.31;121957;541722;85077.64
8100;248430.28;120273;623337;89714.11
8200;255334.14;128236;470691;84411.31
8300;262837.17;126426;533507;95588.31
8400;256331.41;129231;542828;92966.49
8500;263809.02;132534;506713;94851.01
8600;261641.08;140784;738383;98981.16
8700;277826.09;137373;538675;93548.28
8800;277037.10;140016;663605;99019.93
8900;268034.94;134652;518920;95690.36
9000;284522.31;137424;647429;106844.74
9100;279287.45;142932;635710;93120.22
9200;285154.73;144890;546628;95283.13
9300;284973.30;143276;558868;97238.76
9400;311033.10;147935;682279;108979.88
9500;298172.19;147563;648895;102853.13
9600;301373.39;148690;665522;105793.63
9700;294316.90;149721;589092;99256.27
9800;298597.55;158820;687726;117651.03
9900;327981.28;161967;655801;113578.98
10000;326210.65;168628;606314;103862.00
