n;avg;min;max;standard_deviation
100;1029.00;1029;1029;0.00
200;4389.00;4389;4389;0.00
300;3317.00;3317;3317;0.00
400;6244.00;6244;6244;0.00
500;9047.50;8299;10794;1143.35
600;14413.00;14413;14413;0.00
700;14736.00;14736;14736;0.00
800;9329.00;9329;9329;0.00
900;30559.00;30559;30559;0.00
1000;16452.00;16452;16452;0.00
1100;19257.00;19257;19257;0.00
1200;30370.00;30370;30370;0.00
1300;44011.00;44011;44011;0.00
1400;45197.00;45197;45197;0.00
1500;38364.17;35429;40088;2249.39
1600;24110.00;24110;24110;0.00
1700;47037.00;47037;47037;0.00
1800;58743.00;58743;58743;0.00
1900;30339.00;30339;30339;0.00
2000;36847.10;32972;45889;5919.31
2100;45720.00;45720;45720;0.00
2200;82882.00;82882;82882;0.00
2300;35865.00;35865;35865;0.00
2400;115789.67;51671;134942;35043.14
2500;86187.00;86187;86187;0.00
2600;106794.00;106794;106794;0.00
2700;72756.00;72756;72756;0.00
2800;75612.73;75285;77806;847.82
2900;85156.00;85156;85156;0.00
3000;79242.00;79242;79242;0.00
3100;102263.48;94384;150666;19529.12
3200;150925.00;150925;150925;0.00
3300;56252.40;53410;56963;1421.20
3400;76244.00;76244;76244;0.00
3500;52894.00;52894;52894;0.00
3600;106628.30;91031;143022;23825.27
3700;172424.00;172424;172424;0.00
3800;147071.75;119530;186705;33038.90
3900;59958.00;59958;59958;0.00
4000;73800.06;68827;90449;9099.24
4100;91957.00;91957;91957;0.00
4200;204667.44;191940;249792;23964.98
4300;73108.00;73108;73108;0.00
4400;106302.22;95617;136714;18026.55
4500;71516.00;71516;71516;0.00
4600;119548.36;110040;135062;12145.34
4700;160058.00;160058;160058;0.00
4800;117871.75;91697;166482;35670.17
4900;129827.00;129827;129827;0.00
5000;166525.44;129420;169752;10941.80
5100;200598.40;198028;205372;3502.86
5200;93547.00;93547;93547;0.00
5300;110598.80;78542;121862;19001.64
5400;185653.60;175044;189004;5962.08
5500;285064.00;285064;285064;0.00
5600;124750.20;112176;128721;7066.09
5700;164600.82;145330;172472;12316.01
5800;113372.00;113372;113372;0.00
5900;179120.72;166178;247070;29655.50
6000;136186.95;103127;163236;29903.85
6100;102453.51;95565;172104;21904.07
6200;272952.00;272952;272952;0.00
6300;207133.26;97665;232811;53017.90
6400;219799.30;214211;226101;5934.29
6500;296211.16;142711;365175;102888.10
6600;123494.30;121760;150665;6864.56
6700;212875.00;212875;212875;0.00
6800;209236.06;110963;225234;39650.56
6900;238882.30;192052;259922;31389.42
7000;353112.34;263982;417655;75846.62
7100;244574.01;240007;248624;4300.74
7200;183937.96;166928;192316;11937.76
7300;145976.13;113125;255956;60107.93
7400;216707.95;170411;224878;19448.61
7500;237237.60;232675;297855;16630.48
7600;292373.00;292373;292373;0.00
7700;258161.00;258161;258161;0.00
7800;171442.15;128600;173697;9828.66
7900;286259.89;185752;293825;27574.50
8000;186761.32;168731;394110;61143.79
8100;409279.44;200778;427410;61483.72
8200;323529.57;279109;324636;6638.32
8300;308587.48;222435;316079;25404.98
8400;172242.70;158143;174538;5688.85
8500;297088.37;228909;315212;35151.92
8600;326863.88;188323;383451;88541.68
8700;190803.15;190471;191420;452.64
8800;241350.53;189569;287270;48762.49
8900;247424.08;211966;296390;41668.18
9000;258897.30;243386;265545;10154.53
9100;542849.94;192310;638727;180839.06
9200;315892.10;274400;327595;22035.83
9300;295403.40;219876;413536;94457.65
9400;396283.79;324444;499663;86178.54
9500;206917.70;188408;211838;9543.23
9600;165770.29;153817;241393;27251.17
9700;421123.00;408421;452221;19874.78
9800;381432.32;368180;395789;13793.45
9900;184063.25;168845;229718;26358.78
10000;341407.09;166090;356649;35967.82
