n;avg;min;max;standard_deviation
100;1384.52;817;1880;225.52
200;3363.62;2728;4340;318.83
300;5784.38;4861;7390;516.65
400;8331.74;6933;10351;718.09
500;11113.01;9082;13205;875.60
600;13835.96;11667;16586;1139.83
700;16720.42;13611;23377;1549.15
800;19927.85;15433;26031;1913.87
900;22688.50;17689;28778;2125.23
1000;26568.98;21569;33132;2252.49
1100;28924.26;23987;34881;2356.46
1200;32817.98;27496;42753;3150.26
1300;35641.21;29921;47174;3191.45
1400;38772.78;30414;47325;3349.28
1500;41500.89;34590;52591;3429.97
1600;45301.06;37407;53725;3852.84
1700;48544.19;38579;59662;4457.83
1800;52403.76;42099;63660;4605.17
1900;55634.49;47490;66406;4340.13
2000;59921.46;47318;77800;5254.69
2100;62747.80;53133;77615;5457.14
2200;66924.01;55784;88228;5585.17
2300;69782.90;57520;82042;5360.80
2400;72516.59;59376;92159;5905.43
2500;77242.43;61954;95928;5970.17
2600;79899.81;61551;95682;6649.46
2700;84669.13;65247;101867;7075.55
2800;87173.63;66963;109222;7845.47
2900;91713.89;74899;116139;8721.82
3000;94621.20;73775;117791;8877.12
3100;98171.41;77869;120149;9399.18
3200;101115.38;80559;123861;8286.84
3300;106062.89;92558;128824;7702.30
3400;108320.74;86977;133288;9736.50
3500;113143.92;94342;137627;9407.77
3600;114405.61;91627;145119;9227.70
3700;119858.58;99953;141702;9186.89
3800;125184.31;99263;167606;10172.46
3900;128325.48;106745;177804;11241.64
4000;132370.56;103925;157995;11357.77
4100;135520.96;103577;177598;13663.18
4200;139771.59;114005;172767;10877.89
4300;141596.60;109139;176430;12803.30
4400;145528.56;119075;180120;11773.17
4500;150605.74;115274;184357;12743.20
4600;154780.47;123739;190521;11697.82
4700;160344.70;127039;201786;14202.72
4800;163879.89;135812;207589;13164.69
4900;164351.53;137232;201003;14116.88
5000;166800.88;135555;206644;15447.37
5100;172399.23;132828;205516;14633.67
5200;176278.10;139326;204577;13245.75
5300;179319.03;143429;215247;15428.05
5400;185529.44;157827;228488;14379.73
5500;186457.94;155497;226483;15033.65
5600;193489.88;146276;234443;16438.47
5700;197292.22;168242;250582;15781.19
5800;201187.81;165540;257556;15582.37
5900;202299.51;161786;246176;17454.17
6000;209549.97;173747;280593;17733.68
6100;210432.85;174577;258646;16621.28
6200;212835.37;165233;271053;17007.97
6300;215034.29;181197;284684;18523.38
6400;222454.26;178576;270430;18340.23
6500;225191.76;190293;268452;17091.78
6600;227332.11;189782;265011;15825.19
6700;236256.05;194981;289031;19550.78
6800;240789.52;195021;287014;17389.63
6900;239539.77;203618;295580;19591.38
7000;244930.05;195976;301196;20473.62
7100;249987.64;198355;304985;20052.31
7200;254798.13;212859;323048;21785.12
7300;257991.54;210539;331579;22420.21
7400;264949.10;205403;323219;22129.11
7500;272446.87;226908;321178;22191.33
7600;270812.68;216834;331545;22140.63
7700;277148.77;224823;329894;22033.46
7800;280981.56;218419;341866;22500.16
7900;282865.06;241645;341643;23874.96
8000;287522.56;244743;362509;23383.08
8100;294054.40;221807;362545;24410.80
8200;294179.68;248911;396659;25912.13
8300;300803.88;252711;365965;26366.89
8400;300286.50;252661;379436;24850.30
8500;303989.18;243717;364578;27792.17
8600;307451.99;248421;393415;24201.53
8700;317740.21;263097;409338;26913.20
8800;317670.41;253893;389185;25203.24
8900;325500.87;272076;405052;25000.44
9000;330488.50;248472;407794;28832.11
9100;332223.59;279697;413206;25150.16
9200;336227.92;276555;395715;26740.28
9300;344557.39;274882;402985;25690.01
9400;347392.58;296552;410598;26703.21
9500;344331.28;290799;402359;23259.94
9600;355524.15;293384;417871;25598.27
9700;353281.95;292528;443657;30963.82
9800;359659.48;285677;442051;32110.70
9900;364248.86;291826;422726;26540.57
10000;368789.22;304934;446446;28887.88
