n;avg;min;max;standard_deviation
100;10;3;93;9.30
200;15;6;27;3.05
300;23;10;36;3.64
400;31;15;49;5.62
500;39;20;62;3.92
600;47;23;64;7.06
700;53;24;82;10.47
800;61;29;89;10.65
900;71;34;119;10.59
1000;77;32;114;10.99
1100;84;35;133;15.44
1200;94;37;129;15.26
1300;101;41;138;13.05
1400;109;45;146;13.03
1500;120;100;150;10.23
1600;125;59;185;13.91
1700;131;67;185;13.10
1800;141;75;204;14.50
1900;149;76;192;14.20
2000;159;81;201;17.60
2100;166;82;255;20.17
2200;172;83;251;15.17
2300;181;92;226;16.30
2400;189;96;291;20.68
2500;199;100;274;18.20
2600;203;100;314;22.22
2700;209;104;278;24.68
2800;222;107;279;26.56
2900;232;115;273;24.27
3000;241;115;308;24.02
3100;250;126;334;23.32
3200;256;132;349;24.72
3300;258;130;307;28.90
3400;273;135;366;26.01
3500;282;143;360;29.34
3600;293;252;373;17.31
3700;294;144;345;29.66
3800;298;155;357;32.82
3900;318;276;441;20.07
4000;314;163;377;31.81
4100;325;154;365;23.35
4200;328;169;399;40.11
4300;343;174;432;31.49
4400;342;172;416;35.35
4500;358;182;417;30.46
4600;362;186;496;28.15
4700;375;192;479;32.64
4800;382;331;444;16.80
4900;388;196;479;28.24
5000;396;200;462;28.68
5100;404;210;451;25.52
5200;414;366;484;19.67
5300;425;372;522;22.28
5400;426;219;530;40.34
5500;444;219;542;34.75
5600;445;177;518;36.89
5700;451;221;531;34.71
5800;460;236;535;37.86
5900;473;391;586;26.37
6000;479;236;557;33.76
6100;484;240;558;48.98
6200;507;450;587;23.37
6300;507;243;623;44.87
6400;508;215;592;39.18
6500;513;256;600;42.84
6600;533;460;639;30.38
6700;535;467;643;27.83
6800;532;263;596;45.36
6900;549;281;644;35.62
7000;556;278;633;35.86
7100;562;263;657;39.41
7200;581;487;671;26.42
7300;583;512;684;26.00
7400;586;290;728;56.36
7500;591;307;685;45.08
7600;599;303;676;39.83
7700;606;304;718;59.74
7800;616;306;700;50.01
7900;619;322;688;55.16
8000;624;265;731;61.26
8100;650;565;746;31.11
8200;667;583;778;32.75
8300;662;323;731;64.14
8400;668;338;789;44.29
8500;683;369;787;42.22
8600;680;344;838;53.54
8700;697;348;774;43.13
8800;703;598;789;32.84
8900;699;342;832;69.91
9000;706;363;824;56.50
9100;726;418;814;42.21
9200;726;377;820;44.53
9300;730;347;807;59.95
9400;755;367;835;46.59
9500;760;383;853;60.88
9600;776;696;879;33.68
9700;781;375;927;53.05
9800;774;400;882;47.45
9900;778;384;866;62.52
10000;783;387;891;63.09
