n;avg;min;max;standard_deviation
100;3;3;4;0.67
200;3;2;12;0.95
300;11;10;20;1.55
400;13;13;22;1.93
500;21;15;40;4.25
600;27;26;52;3.54
700;30;28;39;2.50
800;14;13;23;1.30
900;31;29;54;3.66
1000;42;40;63;3.32
1100;28;26;44;3.27
1200;31;29;56;3.87
1300;43;40;63;4.08
1400;44;42;69;4.00
1500;54;39;93;17.36
1600;34;32;50;2.43
1700;65;62;86;4.47
1800;54;52;82;4.00
1900;125;119;165;7.99
2000;72;48;119;17.02
2100;61;57;93;6.23
2200;85;81;120;4.85
2300;54;51;80;4.41
2400;121;99;166;12.35
2500;68;66;92;3.92
2600;81;77;107;5.43
2700;79;75;105;5.69
2800;64;60;97;5.18
2900;80;76;113;6.41
3000;95;89;135;8.91
3100;107;78;142;12.57
3200;76;71;108;7.03
3300;139;130;181;9.26
3400;156;145;210;13.94
3500;144;138;210;10.78
3600;165;156;205;8.61
3700;65;62;96;6.12
3800;144;139;200;8.79
3900;152;143;200;11.30
4000;121;110;155;11.55
4100;216;206;259;10.00
4200;132;119;181;11.45
4300;228;215;302;17.05
4400;104;92;139;14.79
4500;172;163;211;10.14
4600;183;156;237;17.08
4700;184;173;244;12.27
4800;149;122;229;26.32
4900;165;154;216;10.95
5000;189;102;240;25.92
5100;265;148;373;79.91
5200;204;195;256;10.38
5300;182;139;233;22.52
5400;248;146;338;54.49
5500;126;119;166;7.80
5600;219;168;262;24.65
5700;168;136;221;18.96
5800;208;199;274;10.77
5900;138;117;227;33.99
6000;240;206;309;30.66
6100;236;200;306;15.90
6200;236;223;329;13.77
6300;181;143;228;19.01
6400;173;131;241;35.66
6500;267;167;413;61.56
6600;228;218;284;9.34
6700;210;196;286;14.72
6800;273;249;368;24.46
6900;296;231;390;39.80
7000;286;253;347;26.09
7100;199;177;256;19.99
7200;206;160;311;53.69
7300;331;305;417;24.21
7400;264;181;323;34.77
7500;250;235;340;17.26
7600;147;142;187;6.40
7700;189;178;252;12.20
7800;377;291;424;22.54
7900;264;252;329;13.29
8000;233;211;369;31.88
8100;253;225;431;44.67
8200;215;197;425;32.52
8300;209;186;368;41.37
8400;217;200;297;15.94
8500;284;266;335;14.82
8600;307;230;400;41.97
8700;243;225;298;15.77
8800;485;340;659;117.96
8900;308;235;438;69.26
9000;366;196;487;104.08
9100;366;331;420;17.21
9200;279;181;381;48.50
9300;408;350;502;34.51
9400;277;163;475;126.28
9500;299;271;386;30.06
9600;382;228;467;49.75
9700;315;220;407;53.63
9800;411;387;495;20.02
9900;231;213;294;13.47
10000;322;269;410;25.89
