n;avg;min;max;standard_deviation
100;1109.00;1109;1109;0.00
200;3501.00;3501;3501;0.00
300;6479.00;6479;6479;0.00
400;10775.00;10775;10775;0.00
500;12312.80;12093;12407;143.89
600;14107.00;14107;14107;0.00
700;13651.00;13651;13651;0.00
800;13376.00;13376;13376;0.00
900;27792.00;27792;27792;0.00
1000;30017.00;30017;30017;0.00
1100;15680.00;15680;15680;0.00
1200;35206.00;35206;35206;0.00
1300;32534.00;32534;32534;0.00
1400;27225.00;27225;27225;0.00
1500;27087.47;25115;30446;2573.83
1600;35196.00;35196;35196;0.00
1700;45092.00;45092;45092;0.00
1800;53144.00;53144;53144;0.00
1900;27093.00;27093;27093;0.00
2000;45761.10;31066;52059;9620.20
2100;28065.00;28065;28065;0.00
2200;38479.00;38479;38479;0.00
2300;50993.00;50993;50993;0.00
2400;52357.76;47208;53896;2814.53
2500;96694.00;96694;96694;0.00
2600;84137.00;84137;84137;0.00
2700;66368.00;66368;66368;0.00
2800;72376.40;61484;74004;4210.52
2900;73036.00;73036;73036;0.00
3000;118518.00;118518;118518;0.00
3100;98026.28;68573;102821;11883.61
3200;91385.00;91385;91385;0.00
3300;133770.60;125103;168441;17335.20
3400;74870.00;74870;74870;0.00
3500;73787.00;73787;73787;0.00
3600;148748.80;135593;154387;8612.49
3700;128459.00;128459;128459;0.00
3800;88442.82;83665;91763;3982.87
3900;155835.00;155835;155835;0.00
4000;95016.11;90132;96475;2669.34
4100;129038.00;129038;129038;0.00
4200;105237.04;100465;106583;2534.36
4300;80033.00;80033;80033;0.00
4400;86800.42;68414;139131;31018.90
4500;81644.00;81644;81644;0.00
4600;154813.90;137674;182779;21893.36
4700;74189.00;74189;74189;0.00
4800;173468.40;149842;217346;32197.36
4900;87035.00;87035;87035;0.00
5000;210281.40;155523;215043;16147.37
5100;141853.10;99732;220078;57401.38
5200;126716.00;126716;126716;0.00
5300;142765.02;102939;256116;67188.68
5400;183801.40;112103;206443;40291.02
5500;106509.00;106509;106509;0.00
5600;181669.80;135153;328973;82777.25
5700;133621.33;115590;177767;28213.56
5800;259058.00;259058;259058;0.00
5900;243639.48;124446;266343;52020.30
6000;138249.50;112487;169737;28481.52
6100;161323.62;156435;210753;15544.82
6200;143047.00;143047;143047;0.00
6300;115643.62;100009;119311;7572.19
6400;141427.09;109821;177068;33562.92
6500;140284.52;136760;141868;2362.42
6600;196600.64;147715;199721;12350.74
6700;206092.00;206092;206092;0.00
6800;224598.84;220034;252640;11313.86
6900;200570.98;113740;239582;58201.07
7000;170849.20;121285;239295;58244.84
7100;183641.28;170457;195333;12415.59
7200;148903.95;133092;181007;22530.24
7300;261327.94;257239;275017;7481.56
7400;278515.20;214092;289884;27063.16
7500;224040.52;136375;230639;24051.18
7600;165936.00;165936;165936;0.00
7700;169704.00;169704;169704;0.00
7800;130664.10;123205;272387;32513.46
7900;171881.07;157746;172945;3877.98
8000;190207.04;137250;194812;15616.18
8100;178844.40;140025;182220;11447.22
8200;141846.42;138096;361190;24476.21
8300;163926.48;163660;166991;903.68
8400;293020.04;188776;309990;42059.69
8500;267408.06;207357;283371;30961.13
8600;201047.79;173394;212343;17673.58
8700;243074.45;212711;259424;22280.68
8800;284167.32;264542;306298;20840.39
8900;279255.78;189129;344520;76694.55
9000;226412.90;199697;288750;40809.21
9100;396221.98;296378;420343;47602.04
9200;290943.94;212497;313070;41661.99
9300;249938.78;198029;283127;41506.54
9400;530539.50;430859;599809;83095.24
9500;224507.64;196497;329881;54328.40
9600;246096.22;236829;313773;21297.01
9700;248651.35;173073;433688;118257.20
9800;349155.48;245273;445047;99807.06
9900;503515.00;462439;517207;23715.24
10000;226547.71;213288;233054;3827.36
