n;avg;min;max;standard_deviation
100;3;3;12;1.10
200;6;6;10;0.83
300;10;9;19;1.67
400;11;10;27;2.45
500;12;12;20;1.14
600;15;14;29;2.52
700;18;18;30;1.84
800;18;17;28;1.95
900;21;20;39;2.69
1000;29;28;47;2.85
1100;18;17;28;1.56
1200;29;28;40;1.55
1300;32;31;42;2.03
1400;30;28;46;3.20
1500;30;23;54;7.85
1600;34;32;56;3.73
1700;38;36;65;4.33
1800;45;43;70;3.20
1900;29;27;45;2.55
2000;37;32;73;5.79
2100;29;28;38;2.27
2200;42;40;64;3.56
2300;48;46;73;3.48
2400;50;45;73;4.96
2500;62;58;87;5.81
2600;64;61;81;3.62
2700;67;63;91;4.71
2800;69;59;102;5.47
2900;59;56;83;5.09
3000;73;69;113;6.57
3100;69;57;103;6.21
3200;57;54;82;5.73
3300;70;64;93;4.22
3400;64;62;98;3.88
3500;65;63;98;4.94
3600;90;85;133;7.78
3700;96;92;129;6.26
3800;76;71;107;5.55
3900;102;96;149;9.13
4000;93;68;123;13.16
4100;118;112;185;10.08
4200;84;77;127;7.33
4300;75;72;94;4.33
4400;69;60;100;10.81
4500;70;65;104;7.24
4600;123;109;186;13.78
4700;71;66;115;7.10
4800;120;109;161;9.84
4900;86;80;114;7.41
5000;133;115;190;10.38
5100;102;84;153;20.20
5200;119;111;194;10.90
5300;104;87;167;21.83
5400;92;83;150;10.54
5500;90;85;125;7.06
5600;126;113;168;14.68
5700;120;111;167;10.58
5800;152;145;202;9.53
5900;134;111;174;12.52
6000;116;95;170;20.45
6100;127;119;172;11.63
6200;127;121;149;6.63
6300;101;84;129;9.34
6400;113;86;174;24.25
6500;112;106;142;7.12
6600;148;140;195;9.95
6700;169;160;245;10.42
6800;140;126;185;14.95
6900;141;99;184;27.55
7000;130;103;198;24.65
7100;135;119;186;12.81
7200;120;103;180;18.05
7300;172;163;218;9.03
7400;160;145;192;8.97
7500;189;133;219;15.94
7600;159;151;205;11.81
7700;142;134;209;12.45
7800;106;96;204;22.71
7900;129;122;179;10.41
8000;151;111;225;16.14
8100;161;116;206;14.43
8200;116;105;254;22.16
8300;151;132;214;12.72
8400;175;156;231;11.55
8500;192;162;270;17.01
8600;160;140;204;11.84
8700;173;159;226;11.69
8800;183;149;257;28.72
8900;172;144;226;20.79
9000;182;161;260;23.83
9100;205;169;256;16.07
9200;167;156;238;12.44
9300;190;150;251;27.07
9400;250;212;318;23.84
9500;167;148;267;22.99
9600;189;175;266;15.84
9700;171;141;280;32.91
9800;246;217;312;20.26
9900;263;249;303;11.40
10000;185;162;231;13.11
