n;avg;min;max;standard_deviation
100;420.76;304;495;40.79
200;976.35;752;1122;68.28
300;1568.82;1211;1910;90.06
400;2164.86;1726;2475;123.38
500;2833.86;2245;3061;126.06
600;3476.09;2806;4052;185.24
700;4120.57;3224;4633;262.72
800;4838.38;3967;5566;284.03
900;5532.08;4727;5969;231.26
1000;6262.18;5051;7061;288.74
1100;6890.24;5556;7509;356.27
1200;7619.46;5983;8968;420.06
1300;8382.17;6847;9128;356.56
1400;9154.09;7434;10053;385.47
1500;9946.49;9134;10837;372.03
1600;10710.17;8485;11839;454.84
1700;11342.98;9796;12546;430.14
1800;12152.87;10648;13059;418.91
1900;12941.75;11178;14285;493.79
2000;13583.11;11432;15155;609.07
2100;14373.85;12098;15943;570.03
2200;15194.04;12606;16492;596.11
2300;15963.96;13429;17044;575.38
2400;16910.06;15626;18815;611.82
2500;17658.22;14689;19235;657.73
2600;18309.52;15461;20587;707.64
2700;19178.13;15967;21083;795.43
2800;19910.88;17000;21201;858.82
2900;20737.53;16774;22492;795.30
3000;21527.14;18027;23277;698.32
3100;22364.37;19710;24619;879.22
3200;23118.94;20652;24578;736.35
3300;23859.30;19727;25597;885.89
3400;24851.52;19669;26224;980.46
3500;25574.20;20954;29526;1093.19
3600;26660.63;24911;28779;837.25
3700;27265.89;23369;29438;1010.42
3800;27990.18;24452;30608;951.48
3900;28892.24;26838;31374;798.74
4000;29588.33;25818;32743;1121.27
4100;30586.48;26924;33738;992.52
4200;31486.77;27766;34863;1166.60
4300;32300.33;28971;36017;1214.35
4400;32986.54;29370;36053;1149.48
4500;33992.20;30648;36536;1093.68
4600;34763.30;29346;37732;1197.76
4700;35472.07;30446;37311;1096.70
4800;36647.47;34217;39173;1130.15
4900;37405.86;34958;41459;1168.69
5000;38253.60;32351;41787;1474.42
5100;38812.67;36007;41836;1111.40
5200;39806.31;36843;44072;1334.90
5300;40812.83;37938;43636;1099.76
5400;41629.93;35657;47256;1518.64
5500;42416.40;38101;45794;1201.26
5600;43272.65;39875;46360;1363.70
5700;44071.82;38506;46817;1308.96
5800;45021.79;40511;48200;1232.77
5900;45558.32;43056;48443;1188.83
6000;46782.28;43494;51042;1336.99
6100;47314.18;42580;50405;1564.92
6200;48637.86;45579;54026;1506.47
6300;49234.11;43889;53708;1478.88
6400;50094.01;41992;56083;1744.56
6500;50994.55;42789;56546;1842.95
6600;51906.52;48921;57312;1540.25
6700;52430.35;49383;55411;1527.75
6800;53502.14;47635;57401;1740.11
6900;54498.27;46644;57980;1704.97
7000;55346.47;47953;59747;1807.20
7100;55966.53;45480;61093;1794.19
7200;57252.96;53776;63125;1673.86
7300;57996.57;54357;63074;1703.81
7400;59044.99;50706;65981;2094.17
7500;59726.34;49830;64949;1817.55
7600;60771.24;52161;67125;2022.60
7700;61574.63;51970;66299;2111.23
7800;62477.00;53359;68414;1945.43
7900;63182.32;53183;68498;2175.02
8000;64174.08;53976;71060;2488.42
8100;65357.92;60581;71107;1897.91
8200;65962.83;60620;70530;1846.11
8300;66684.78;57839;71850;2281.16
8400;67528.92;62794;72269;1967.78
8500;68649.64;59792;73810;2233.92
8600;69878.93;65374;75697;2208.96
8700;70502.07;58353;76679;2105.68
8800;71271.01;65059;76249;2061.57
8900;72210.43;63064;78651;2539.04
9000;73155.57;63015;80057;2600.12
9100;74351.48;68271;81473;2130.47
9200;74709.29;67974;80591;2242.49
9300;75367.27;68978;82097;2065.95
9400;76914.56;67232;81403;2145.58
9500;77522.26;67901;84403;2480.26
9600;78434.32;74624;86197;2109.02
9700;79669.50;75170;88518;2302.74
9800;80517.91;70794;87474;2176.25
9900;81223.19;72348;88568;2433.91
10000;82316.59;69127;92189;2845.81
