n;avg;min;max;standard_deviation
100;4;2;16;2.42
200;6;3;13;1.65
300;8;5;16;2.18
400;10;7;19;2.47
500;12;7;22;2.73
600;14;8;42;4.50
700;16;10;33;3.86
800;18;10;34;4.85
900;21;14;41;5.04
1000;22;14;35;4.51
1100;24;14;47;6.19
1200;26;16;39;4.77
1300;28;16;45;6.57
1400;31;18;56;7.43
1500;32;20;64;8.56
1600;34;23;66;7.71
1700;38;24;67;9.26
1800;39;24;76;10.13
1900;43;25;86;10.23
2000;44;25;79;10.12
2100;46;28;90;12.02
2200;48;28;97;12.10
2300;50;30;84;11.41
2400;52;31;90;12.60
2500;54;32;90;12.28
2600;54;34;88;11.00
2700;59;35;93;13.02
2800;59;36;106;13.73
2900;61;39;99;14.01
3000;64;41;110;12.22
3100;67;40;113;14.45
3200;68;44;130;15.41
3300;72;45;112;12.85
3400;72;44;139;16.39
3500;73;47;147;15.79
3600;77;47;134;18.88
3700;78;47;137;17.30
3800;78;50;148;17.99
3900;84;52;141;18.01
4000;86;50;175;18.39
4100;86;55;128;17.39
4200;87;55;132;17.22
4300;91;56;141;20.34
4400;91;56;162;18.83
4500;93;58;175;20.54
4600;98;61;162;19.95
4700;99;60;183;23.95
4800;101;63;145;20.64
4900;102;64;203;22.93
5000;106;68;164;20.36
5100;106;65;165;23.10
5200;110;67;162;20.55
5300;111;70;219;20.99
5400;108;67;167;24.12
5500;117;75;175;22.63
5600;113;70;162;22.69
5700;118;76;230;26.08
5800;123;74;214;27.19
5900;120;75;198;25.70
6000;121;75;190;24.66
6100;131;82;228;26.67
6200;134;81;202;26.94
6300;129;80;216;26.11
6400;129;83;212;27.81
6500;136;81;224;28.63
6600;144;85;266;30.29
6700;141;86;208;25.47
6800;139;87;217;28.68
6900;144;86;254;30.66
7000;143;89;236;29.16
7100;146;88;227;26.74
7200;156;94;229;31.36
7300;145;91;224;29.92
7400;157;97;269;28.66
7500;155;96;230;31.59
7600;150;98;230;32.15
7700;161;96;256;35.45
7800;160;99;236;33.28
7900;163;100;229;29.35
8000;165;103;239;32.02
8100;166;105;273;36.19
8200;164;103;298;35.33
8300;170;106;282;36.70
8400;177;107;266;36.94
8500;180;110;297;34.86
8600;178;110;286;38.49
8700;179;110;263;33.14
8800;176;112;272;37.09
8900;187;119;364;41.84
9000;192;113;348;35.47
9100;188;114;292;41.02
9200;188;116;279;36.67
9300;193;120;313;39.26
9400;185;120;281;40.34
9500;193;121;310;38.74
9600;199;128;307;40.48
9700;198;125;294;39.79
9800;202;121;318;40.63
9900;202;127;296;38.42
10000;199;124;277;39.13
