n;avg;min;max;standard_deviation
100;1496.00;1496;1496;0.00
200;3308.00;3308;3308;0.00
300;4984.00;4984;4984;0.00
400;7006.00;7006;7006;0.00
500;9064.50;8712;9887;538.45
600;11562.00;11562;11562;0.00
700;13664.00;13664;13664;0.00
800;17263.00;17263;17263;0.00
900;20505.00;20505;20505;0.00
1000;20219.00;20219;20219;0.00
1100;25988.00;25988;25988;0.00
1200;28807.00;28807;28807;0.00
1300;27390.00;27390;27390;0.00
1400;30969.00;30969;30969;0.00
1500;34150.11;30498;36295;2798.82
1600;37211.00;37211;37211;0.00
1700;36762.00;36762;36762;0.00
1800;40367.00;40367;40367;0.00
1900;45285.00;45285;45285;0.00
2000;45235.90;43633;48976;2448.47
2100;49080.00;49080;49080;0.00
2200;52788.00;52788;52788;0.00
2300;56344.00;56344;56344;0.00
2400;60442.02;55263;61989;2830.52
2500;71816.00;71816;71816;0.00
2600;72820.00;72820;72820;0.00
2700;67896.00;67896;67896;0.00
2800;61934.98;60538;71284;3613.92
2900;66827.00;66827;66827;0.00
3000;72697.00;72697;72697;0.00
3100;78046.98;77236;78179;327.21
3200;80004.00;80004;80004;0.00
3300;96272.80;79092;100568;8590.40
3400;80636.00;80636;80636;0.00
3500;89971.00;89971;89971;0.00
3600;92140.80;86993;94347;3370.03
3700;90755.00;90755;90755;0.00
3800;100262.01;99704;101065;669.39
3900;92501.00;92501;92501;0.00
4000;101462.99;100632;104245;1520.47
4100;98567.00;98567;98567;0.00
4200;107996.78;104609;120008;6378.98
4300;108440.00;108440;108440;0.00
4400;113288.54;107945;115166;3167.38
4500;127468.00;127468;127468;0.00
4600;129113.64;125094;135672;5134.42
4700;127808.00;127808;127808;0.00
4800;134800.00;123841;140701;8041.71
4900;128268.00;128268;128268;0.00
5000;147759.88;127967;149481;5836.60
5100;147872.75;140947;151602;5082.11
5200;132488.00;132488;132488;0.00
5300;144973.86;142241;152752;4610.48
5400;149478.08;144095;151178;3025.03
5500;159181.00;159181;159181;0.00
5600;152011.88;151535;153522;848.61
5700;150409.86;149240;153274;1830.48
5800;145715.00;145715;145715;0.00
5900;165487.96;163211;177442;5217.17
6000;167877.95;161789;175320;6731.59
6100;178299.22;156694;180436;6794.53
6200;182372.00;182372;182372;0.00
6300;183743.69;168638;187287;7316.02
6400;178783.30;176870;180480;1801.75
6500;183931.61;172844;188913;7431.80
6600;184731.66;183978;196539;2983.07
6700;192117.00;192117;192117;0.00
6800;190933.54;183117;192206;3153.77
6900;188512.57;188002;189649;761.73
7000;196252.44;185367;204135;9263.11
7100;204718.91;190384;217431;13499.14
7200;217350.78;206876;222510;7351.31
7300;229178.84;210397;234789;10264.95
7400;217459.75;204595;219730;5404.28
7500;207207.24;206493;207261;195.95
7600;210360.00;210360;210360;0.00
7700;225660.00;225660;225660;0.00
7800;228386.55;228302;229993;368.54
7900;228856.49;228506;233513;1277.52
8000;228668.72;228254;233438;1406.38
8100;232986.88;196933;236122;10631.71
8200;247754.38;213042;248783;5859.81
8300;220703.00;218239;249039;8355.83
8400;262296.90;225519;268284;14838.90
8500;244719.37;242851;251748;3623.82
8600;235161.64;232901;236085;1444.78
8700;249349.95;241728;263505;10386.97
8800;263114.14;262756;263518;380.31
8900;253355.86;233771;267538;16665.99
9000;249983.00;245377;251957;3015.33
9100;281647.32;260059;293274;10212.73
9200;248882.82;232254;253573;8831.32
9300;270759.61;248250;285151;17998.46
9400;282615.68;280505;285653;2531.96
9500;263679.38;263327;265005;683.46
9600;283709.78;273834;285173;2918.46
9700;276815.07;253373;286390;14981.86
9800;284960.96;275550;293648;9041.76
9900;291438.00;278163;295863;7664.32
10000;283135.97;282469;285762;1298.34
