n;avg;min;max;standard_deviation
100;7;7;25;2.25
200;14;13;23;1.69
300;22;20;33;2.54
400;29;27;46;2.74
500;38;35;61;3.61
600;47;45;61;2.49
700;48;46;72;3.69
800;64;61;87;5.19
900;74;69;107;6.08
1000;70;66;95;5.22
1100;92;88;125;6.52
1200;97;94;132;5.37
1300;92;87;124;6.61
1400;103;97;138;8.30
1500;118;110;174;10.63
1600;131;124;171;8.20
1700;138;130;177;9.17
1800;147;139;190;9.09
1900;153;145;251;12.86
2000;159;147;223;13.10
2100;167;157;194;8.41
2200;153;145;198;7.97
2300;184;177;229;8.64
2400;190;181;237;10.66
2500;201;191;247;10.86
2600;206;196;233;7.91
2700;226;212;275;11.45
2800;223;211;280;12.13
2900;235;223;270;10.37
3000;242;226;331;16.16
3100;249;225;296;14.05
3200;256;244;335;12.88
3300;272;254;328;14.71
3400;263;249;320;14.63
3500;272;262;336;13.07
3600;282;263;340;14.96
3700;305;289;356;16.15
3800;303;286;381;18.58
3900;312;293;373;17.62
4000;331;307;379;13.79
4100;345;325;410;17.47
4200;349;325;414;18.96
4300;346;328;421;18.84
4400;351;328;429;18.25
4500;377;352;492;20.25
4600;374;352;437;17.42
4700;395;372;473;19.90
4800;392;365;445;17.03
4900;404;380;491;18.20
5000;421;400;481;16.76
5100;414;391;534;22.68
5200;427;401;488;18.04
5300;446;421;499;17.11
5400;427;406;508;14.74
5500;442;419;534;18.49
5600;456;436;493;14.48
5700;467;441;537;18.27
5800;458;440;534;15.90
5900;476;452;531;16.61
6000;483;458;548;17.53
6100;479;451;571;22.80
6200;505;475;569;21.68
6300;516;489;648;21.67
6400;519;483;600;25.75
6500;532;491;603;24.25
6600;532;508;626;20.57
6700;535;509;583;16.22
6800;555;526;639;21.79
6900;562;527;675;25.94
7000;581;540;686;27.57
7100;573;538;648;23.15
7200;587;546;653;21.83
7300;597;567;704;21.41
7400;589;543;699;24.55
7500;597;569;683;21.37
7600;616;588;772;25.04
7700;643;608;729;25.80
7800;620;589;726;22.25
7900;630;601;717;22.33
8000;655;619;710;19.52
8100;661;625;745;23.54
8200;653;613;707;21.61
8300;677;633;779;25.20
8400;684;644;727;18.90
8500;687;648;772;25.81
8600;698;665;786;24.65
8700;703;660;768;25.32
8800;709;672;774;22.70
8900;707;647;792;34.46
9000;731;678;860;23.49
9100;742;677;815;29.31
9200;735;687;891;32.80
9300;759;704;814;25.35
9400;749;711;840;27.92
9500;682;632;839;45.00
9600;781;717;929;29.07
9700;788;737;843;22.25
9800;810;753;891;29.22
9900;802;730;929;30.59
10000;788;747;924;31.82
