n;avg;min;max;standard_deviation
100;1295.00;1295;1295;0.00
200;1801.00;1801;1801;0.00
300;5329.00;5329;5329;0.00
400;5346.00;5346;5346;0.00
500;10624.50;9004;11319;1060.87
600;16462.00;16462;16462;0.00
700;16568.00;16568;16568;0.00
800;10330.00;10330;10330;0.00
900;17205.00;17205;17205;0.00
1000;23228.00;23228;23228;0.00
1100;18146.00;18146;18146;0.00
1200;24911.00;24911;24911;0.00
1300;27653.00;27653;27653;0.00
1400;35573.00;35573;35573;0.00
1500;38362.41;38328;38421;44.90
1600;25920.00;25920;25920;0.00
1700;48517.00;48517;48517;0.00
1800;36057.00;36057;36057;0.00
1900;84783.00;84783;84783;0.00
2000;51733.10;28043;61886;15508.81
2100;43085.00;43085;43085;0.00
2200;55168.00;55168;55168;0.00
2300;35149.00;35149;35149;0.00
2400;93818.20;84378;96638;5159.41
2500;64396.00;64396;64396;0.00
2600;62551.00;62551;62551;0.00
2700;53820.00;53820;53820;0.00
2800;48257.46;44640;48798;1398.35
2900;55638.00;55638;55638;0.00
3000;77304.00;77304;77304;0.00
3100;76771.86;66107;78508;4302.99
3200;74430.00;74430;74430;0.00
3300;135994.20;103623;144087;16185.60
3400;137237.00;137237;137237;0.00
3500;140961.00;140961;140961;0.00
3600;152680.90;144802;171065;12035.22
3700;59000.00;59000;59000;0.00
3800;129541.65;113484;152649;19262.65
3900;123345.00;123345;123345;0.00
4000;135595.64;104463;144895;17015.10
4100;147742.00;147742;147742;0.00
4200;105038.44;103129;105577;1014.07
4300;169678.00;169678;169678;0.00
4400;88430.10;80699;110434;13042.79
4500;148035.00;148035;148035;0.00
4600;175113.76;155087;207789;25580.84
4700;132122.00;132122;132122;0.00
4800;120911.65;86815;184234;46465.90
4900;140347.00;140347;140347;0.00
5000;146805.64;81148;152515;19361.38
5100;214760.45;147022;251235;49706.43
5200;129675.00;129675;129675;0.00
5300;163019.56;137272;172066;15261.84
5400;201256.60;121639;226399;44741.23
5500;123456.00;123456;123456;0.00
5600;190850.24;169552;197576;11968.58
5700;151934.04;124227;163251;17707.61
5800;132337.00;132337;132337;0.00
5900;108471.36;97260;167331;25688.45
6000;213582.30;202794;226768;11926.91
6100;204827.64;148768;210372;17629.94
6200;176291.00;176291;176291;0.00
6300;142912.82;105716;151638;18015.24
6400;168879.18;129120;213714;42220.80
6500;208412.39;119519;248350;59583.47
6600;243964.72;182876;247864;15433.79
6700;170380.00;170380;170380;0.00
6800;238874.60;234494;265784;10857.22
6900;242978.57;167663;276816;50482.52
7000;226736.36;209950;238892;14284.57
7100;214699.26;192864;239322;23187.15
7200;204127.40;202372;204992;1231.96
7300;263171.98;227541;273815;19473.60
7400;204119.00;203932;204152;78.56
7500;217407.90;208583;334653;32166.38
7600;161021.00;161021;161021;0.00
7700;166499.00;166499;166499;0.00
7800;314926.05;268415;317374;10670.37
7900;215971.57;214890;230341;3942.28
8000;203918.20;185309;417924;63106.87
8100;257391.36;251572;324314;19734.41
8200;184105.07;180105;333906;23291.23
8300;205245.92;195378;318727;33463.74
8400;238629.18;234263;265450;10821.48
8500;239539.54;238621;242995;1781.57
8600;233815.07;225265;254748;13378.27
8700;214269.85;206727;228278;10279.17
8800;407697.03;407251;408200;473.65
8900;353801.38;311974;411563;49153.00
9000;317708.90;229553;355490;57711.58
9100;316753.90;293074;420677;48813.60
9200;368436.28;150211;429987;115896.17
9300;321936.30;269214;355644;42156.23
9400;269703.95;209313;356608;72444.59
9500;198327.10;184738;249448;26356.92
9600;351250.03;202374;369847;48308.06
9700;333828.74;272063;359057;39474.58
9800;358699.04;349400;368773;9678.75
9900;230544.00;214431;278883;27908.53
10000;294100.02;287415;323589;13599.00
