n;avg;min;max;standard_deviation
100;1403.20;869;1846;170.17
200;3235.82;2624;4098;310.99
300;5660.68;4459;7118;541.64
400;7911.02;5901;10110;827.41
500;10810.50;8938;14032;965.02
600;13793.73;10485;17514;1404.86
700;16297.95;12492;19881;1459.17
800;18900.26;15314;24117;1854.03
900;22213.98;17418;26774;2184.25
1000;26121.72;20465;33451;2666.18
1100;28727.29;22815;35572;2518.67
1200;31688.59;24760;39233;2624.45
1300;34603.21;28231;42961;2926.66
1400;37982.19;30174;48227;3344.75
1500;40554.55;32674;50507;3400.85
1600;43527.45;34467;55310;4210.24
1700;47348.02;35336;63354;5004.74
1800;51013.71;40290;60042;4603.63
1900;54756.44;43960;66032;4895.34
2000;57442.56;47157;70913;4574.37
2100;61883.41;50223;72746;5063.84
2200;64920.77;50342;83607;5594.10
2300;68364.15;54280;84903;6343.79
2400;71420.35;57447;92806;6344.37
2500;75022.49;61300;92422;6251.14
2600;77629.27;60504;93659;6599.37
2700;81940.73;65777;102708;6842.54
2800;85466.95;64957;104656;7590.75
2900;88114.98;74275;105449;7143.28
3000;92304.79;75317;110500;7411.39
3100;95956.36;77347;117965;8165.75
3200;98875.56;84948;125820;7426.74
3300;103023.56;81593;133750;9530.70
3400;106159.60;85938;126208;9261.80
3500;110338.35;90194;144401;10169.91
3600;115081.89;95230;146145;10433.83
3700;116260.00;99764;145268;9271.44
3800;119617.86;92409;150110;10963.16
3900;124470.99;99733;153123;11097.54
4000;129579.88;105017;167479;11358.70
4100;132981.56;105206;175733;11838.31
4200;136272.57;110393;167525;11801.97
4300;139933.49;108665;165847;12278.01
4400;143085.87;121269;170328;11536.76
4500;148663.94;121382;186208;12339.19
4600;149379.63;113320;189407;13089.04
4700;154469.77;121837;193604;15526.52
4800;159728.57;127870;199849;13961.84
4900;161937.93;130972;196091;13345.72
5000;164672.34;131363;200278;14314.33
5100;167088.04;130135;201625;14994.07
5200;173990.88;129856;231302;16075.97
5300;174725.84;134279;201061;13062.60
5400;181635.57;150484;219596;15237.50
5500;183631.45;144327;233712;15934.43
5600;188575.07;150885;231932;16153.15
5700;191233.03;158961;230640;15702.96
5800;198328.22;159988;241282;17864.01
5900;198190.14;161113;242167;16649.64
6000;201391.52;164643;241351;16436.91
6100;210138.27;158371;267603;19963.98
6200;212659.57;174881;257898;17609.97
6300;214962.76;178735;259403;17908.54
6400;219458.26;181538;263803;18207.78
6500;219779.75;176026;268061;19847.32
6600;224540.04;177302;272184;20505.19
6700;230192.33;190656;297743;21239.85
6800;237397.60;201447;283629;15847.44
6900;237666.06;194008;302272;19684.14
7000;241069.71;193950;285707;18516.97
7100;248492.98;207818;291431;20080.78
7200;249682.96;195902;299578;21117.45
7300;258132.48;208884;307658;19659.74
7400;255038.60;209447;341857;21052.06
7500;262057.32;209005;311440;22366.57
7600;269750.46;228866;349840;25353.99
7700;272745.83;217682;316548;21025.38
7800;271662.86;220797;320517;21384.87
7900;276860.13;215929;357998;21108.64
8000;280494.13;224587;334405;24840.54
8100;286963.52;234008;330448;22220.23
8200;285857.41;223933;343414;22690.05
8300;290534.60;235247;352837;23556.58
8400;299513.97;248606;360609;22562.05
8500;304535.21;257961;384149;25878.91
8600;305605.35;256174;359951;22964.29
8700;309742.67;250450;374422;28215.06
8800;317423.52;264811;386271;26300.97
8900;317924.42;261137;385197;26319.55
9000;324990.34;253429;399625;27363.42
9100;326390.08;266601;389399;23850.67
9200;332423.66;248091;395678;27879.51
9300;333236.53;282586;383057;23597.35
9400;336421.32;270158;420194;30409.46
9500;344676.94;282216;427244;28863.47
9600;346875.33;282421;418799;28729.29
9700;348400.81;283286;429715;32536.65
9800;355394.73;285559;437488;29562.74
9900;353750.15;280911;427254;30128.23
10000;355621.82;304089;433264;28588.66
