n;avg;min;max;standard_deviation
100;1403.74;779;1878;221.02
200;3220.08;2361;4259;347.71
300;5568.48;4459;7543;544.80
400;7878.56;6542;9931;726.74
500;10609.76;8287;14431;1168.51
600;13445.09;10398;16767;1352.93
700;16136.11;13415;22567;1505.94
800;18599.65;14805;25596;1892.94
900;22350.11;17591;27325;2150.10
1000;25018.81;19016;34944;2624.20
1100;28508.03;23870;39260;2634.27
1200;31493.19;24544;41295;2993.04
1300;33505.53;27308;42577;3023.60
1400;36919.25;27680;45064;3415.21
1500;40653.46;31411;49167;3905.10
1600;43672.13;33322;54527;3708.58
1700;47373.51;37036;59642;4879.63
1800;50963.02;40725;61773;4509.36
1900;53513.46;43511;65924;4960.06
2000;57112.85;44938;71357;5204.25
2100;60413.86;48547;75043;5480.01
2200;63862.09;49081;75574;5729.48
2300;66874.73;53981;80625;6138.94
2400;70985.66;57512;91889;6852.84
2500;75139.78;62361;100705;6653.53
2600;76881.98;63100;94076;6874.63
2700;81023.04;67264;108347;8195.72
2800;82588.41;64792;100904;6725.74
2900;85885.51;65939;100725;7305.12
3000;90650.24;72269;116799;8852.08
3100;93621.34;77369;113707;8239.12
3200;96632.21;75602;118072;8227.86
3300;100635.16;81052;121716;9048.09
3400;106086.28;80871;135300;9425.84
3500;109726.38;90077;133891;9104.28
3600;112533.36;94612;146258;9764.21
3700;115577.33;97452;142600;9356.78
3800;118887.61;100290;149503;10745.47
3900;122595.86;100212;148829;10771.23
4000;128752.67;102630;160322;11497.20
4100;129257.55;103586;151815;10079.14
4200;135948.37;102819;162949;11622.76
4300;138225.20;110715;165656;11619.34
4400;141342.66;117352;169580;10867.96
4500;144002.32;113885;178537;13294.17
4600;147071.86;117960;183375;12653.93
4700;153353.75;128453;198687;12160.97
4800;155878.34;129526;190684;13746.98
4900;160370.30;133216;196301;14324.59
5000;163124.11;121344;215125;14531.92
5100;166637.43;136984;209349;14295.00
5200;171240.62;141177;210866;14009.08
5300;173072.09;144240;213013;14375.13
5400;177265.49;137394;231933;15393.36
5500;180861.18;148249;220446;15792.75
5600;184756.67;148815;223753;15270.81
5700;189695.88;145768;236562;17329.36
5800;193104.20;161899;232227;15134.88
5900;194785.84;160256;236684;18152.61
6000;198119.31;160269;256301;16972.08
6100;203638.33;168273;252750;17361.75
6200;209027.16;160807;274061;20257.22
6300;210680.17;171900;249135;16569.98
6400;213084.28;173482;280864;21372.95
6500;217596.28;167455;280112;20930.40
6600;220228.30;174479;261886;17992.42
6700;225656.90;181097;315704;21470.23
6800;228095.58;169529;307841;22096.12
6900;232390.70;173279;304530;20387.63
7000;240780.89;198046;285557;19283.53
7100;240149.11;192341;297546;19569.28
7200;245842.33;195441;299656;20746.59
7300;251827.24;205145;298340;23097.59
7400;255200.66;207272;308495;19469.33
7500;260230.85;214561;324865;22946.13
7600;262708.22;216469;329275;22636.02
7700;265974.73;215341;328727;23367.20
7800;269458.37;223973;353735;22334.05
7900;273143.81;223381;331652;22730.62
8000;277786.71;232324;347415;20689.26
8100;275284.82;214020;352304;27080.82
8200;286893.35;230616;360531;23799.68
8300;291842.67;227821;352791;23305.84
8400;289928.32;234297;349855;22486.97
8500;297809.76;214408;367243;24732.72
8600;301501.46;245093;360536;24383.33
8700;303393.03;234446;371673;26431.37
8800;304805.67;256140;408003;25716.55
8900;315031.52;255425;383887;25245.82
9000;315916.14;258951;376782;24714.44
9100;319071.26;273041;384612;22423.21
9200;321320.36;262695;380653;26530.14
9300;326702.63;254164;398803;28797.83
9400;335430.14;277574;398538;26180.56
9500;335212.30;275735;416907;32256.92
9600;334411.82;275103;423617;32500.23
9700;344199.89;294961;421115;28689.62
9800;343501.77;292633;436064;27777.82
9900;349098.92;261594;451799;30666.72
10000;352779.62;288567;436648;28060.93
