n;avg;min;max;standard_deviation
100;510.00;510;510;0.00
200;1210.00;1210;1210;0.00
300;2013.00;2013;2013;0.00
400;2781.00;2781;2781;0.00
500;3713.00;3713;3713;0.00
600;4094.79;4093;4272;17.81
700;5481.00;5481;5481;0.00
800;5885.75;5624;5973;151.12
900;6666.12;6433;6681;58.90
1000;8219.00;8219;8219;0.00
1100;8628.20;8417;8737;151.59
1200;9198.10;9145;9235;44.26
1300;10305.23;9983;10450;215.98
1400;11407.20;11247;11781;244.71
1500;12186.28;11899;12355;220.16
1600;12743.16;12480;12996;257.95
1700;14485.45;14371;14698;155.97
1800;14637.28;14229;15452;312.66
1900;15954.51;15289;16380;532.14
2000;16496.70;15633;17221;568.89
2100;17984.80;17479;18322;412.98
2200;17608.74;17299;18353;429.82
2300;19024.03;18699;19481;383.44
2400;20231.60;19708;20660;473.61
2500;20858.57;20475;21296;407.37
2600;21619.45;20993;22354;538.42
2700;23251.95;22622;23887;486.06
2800;23944.02;22797;25148;1103.65
2900;24787.25;24349;26184;538.35
3000;25042.04;24572;25335;338.72
3100;26458.18;25595;28109;894.97
3200;27074.44;26562;27613;448.29
3300;28480.11;27921;29316;656.69
3400;29398.14;28042;30242;943.17
3500;30506.96;28750;31336;955.32
3600;31922.27;30280;32506;774.27
3700;33000.96;30503;33902;1084.58
3800;34292.77;33738;35176;559.33
3900;34179.03;33002;34915;737.73
4000;35504.92;33987;37285;1366.35
4100;36448.72;35064;37042;622.71
4200;37542.25;36417;40714;1452.80
4300;38202.14;37106;38763;704.78
4400;39376.40;37433;41188;1484.89
4500;40972.23;39425;41409;548.95
4600;40908.87;39937;41581;594.52
4700;43516.76;41911;45289;1238.02
4800;43740.48;41828;45845;980.48
4900;44487.12;43187;47324;1529.41
5000;45759.33;42860;47070;1064.90
5100;46111.68;45433;47417;824.76
5200;47705.62;45756;50457;1738.39
5300;47790.98;46906;48460;561.42
5400;48878.64;47063;53052;2073.43
5500;49243.53;48350;50187;694.55
5600;50187.00;48196;52290;1465.63
5700;51778.57;50374;52760;900.52
5800;52875.77;51242;54479;1004.91
5900;55061.74;53934;57749;1375.26
6000;54878.27;53238;57791;1661.01
6100;56272.71;53223;59040;1653.23
6200;58811.35;53971;61632;2699.13
6300;56999.25;55934;58246;770.79
6400;60909.43;57364;63830;2384.11
6500;61460.97;60134;62794;997.54
6600;60194.02;58897;61144;794.81
6700;61759.18;60353;63384;1203.27
6800;61997.27;60696;63345;983.10
6900;65777.05;62291;68774;2534.43
7000;65395.22;62239;68932;2262.53
7100;66936.86;64872;68659;1168.84
7200;68385.23;65615;70218;1524.72
7300;68117.74;65666;71374;1731.42
7400;69057.26;65892;72665;2421.30
7500;70187.20;66691;73048;1898.31
7600;71628.43;69029;73579;1505.70
7700;71213.29;68578;74481;2008.62
7800;72947.35;70727;75532;1839.08
7900;75711.20;72341;80333;2553.78
8000;76162.08;72575;82348;2966.79
8100;76555.63;73361;80483;2332.13
8200;78043.89;72116;82371;3052.36
8300;77900.09;74373;82081;2162.90
8400;80674.31;75622;84818;3282.48
8500;80152.39;76172;83291;2176.11
8600;82062.45;79383;86807;2515.19
8700;83359.70;80275;87679;1902.28
8800;83219.62;79269;86108;1832.22
8900;85028.19;78507;88873;2857.56
9000;84979.73;80335;87741;2263.22
9100;88151.35;81433;91583;3182.35
9200;86023.87;81645;90583;3147.09
9300;87771.80;84069;90192;1806.09
9400;90896.92;85112;96094;3255.71
9500;91608.45;88302;96615;2452.57
9600;90918.92;86911;95248;2927.10
9700;92392.15;88232;97261;2951.22
9800;95168.15;89094;97809;2188.87
9900;94285.88;90237;100835;2894.25
10000;96195.53;91026;101009;3247.40
