n;avg;min;max;standard_deviation
100;798.00;798;798;0.00
200;1627.00;1627;1627;0.00
300;2848.00;2848;2848;0.00
400;3838.00;3838;3838;0.00
500;4887.00;4887;4887;0.00
600;6257.55;6213;6258;4.48
700;7183.00;7183;7183;0.00
800;8357.75;8213;8792;250.71
900;9689.56;9526;9700;41.32
1000;10584.00;10584;10584;0.00
1100;11865.52;11686;11958;128.85
1200;13903.01;13054;14493;707.75
1300;14461.94;14377;14651;126.72
1400;15918.20;15878;16012;61.41
1500;16742.82;16482;16896;199.88
1600;17988.13;17872;18109;118.48
1700;19361.20;18979;19567;280.46
1800;20714.05;19814;20859;316.72
1900;21598.39;21442;21843;195.59
2000;22812.88;22033;23574;504.70
2100;24228.00;24100;24420;156.77
2200;25306.86;24631;25523;370.08
2300;27015.65;26047;27165;191.72
2400;27397.80;26982;27738;376.11
2500;29190.99;28749;30738;599.97
2600;31083.48;30363;31731;662.42
2700;32105.26;31047;32944;818.38
2800;34343.78;32939;34976;652.01
2900;34139.34;33301;34859;749.02
3000;35590.58;34488;35978;604.30
3100;37290.26;35933;38160;418.33
3200;37840.39;37558;38777;483.79
3300;39026.08;38842;40282;303.30
3400;40542.83;39470;41787;959.80
3500;41728.28;41469;42063;221.57
3600;42709.28;42192;43679;578.97
3700;45399.14;44527;46609;877.56
3800;45021.01;44405;46732;850.40
3900;47792.68;46680;48123;542.93
4000;49314.84;47307;50430;969.51
4100;49902.58;48536;51063;689.65
4200;51575.73;49816;54182;1856.08
4300;52693.42;50926;56115;2203.79
4400;53861.47;53125;57919;816.06
4500;56334.97;54432;58336;1500.25
4600;56990.18;55812;58624;1191.02
4700;57756.62;56060;59226;1088.59
4800;59645.31;58081;60981;1118.52
4900;61388.88;60353;63489;969.36
5000;61823.92;59777;63905;1593.76
5100;63309.94;60575;65405;2027.43
5200;65032.55;63309;67461;925.42
5300;65143.10;64135;67355;1250.08
5400;67956.24;64845;71999;2565.62
5500;68600.66;67021;69753;1052.89
5600;70313.15;67553;72492;1503.97
5700;71451.26;68470;73057;1873.40
5800;73801.50;68943;76704;2927.00
5900;74297.62;71593;75605;1208.48
6000;75608.01;73272;78593;1851.68
6100;76016.22;73674;78362;1556.72
6200;77874.03;74857;80080;1795.10
6300;79333.21;76880;81792;1912.30
6400;80615.43;79848;81358;610.17
6500;81782.17;81363;82769;500.27
6600;85563.34;83293;87197;1233.86
6700;84909.45;82661;87667;1400.36
6800;86873.40;83346;89300;1890.27
6900;87582.95;83437;89264;2044.82
7000;87191.36;85250;89781;1662.79
7100;89850.40;87490;92976;1536.87
7200;91274.17;89129;93722;1491.61
7300;94887.91;91710;97887;1871.95
7400;96200.22;93108;101525;2284.89
7500;94845.81;93209;97732;1326.09
7600;95875.98;93894;98685;1570.96
7700;98755.59;96287;101662;2041.31
7800;100332.29;98393;105167;2138.89
7900;101806.96;99197;104221;1767.28
8000;100607.01;97712;104944;2452.35
8100;104449.33;99935;108768;2695.00
8200;104340.56;102703;106082;1451.28
8300;108257.46;105858;113167;2448.18
8400;110344.87;106287;116111;2997.52
8500;110283.05;105502;114526;2792.03
8600;111540.73;107139;114864;2133.05
8700;111578.76;108052;116838;2985.00
8800;113715.90;110124;121356;2863.42
8900;114793.64;110808;118313;2355.35
9000;116477.01;112191;121714;2505.14
9100;118433.05;116167;124033;2136.16
9200;118445.17;116167;122284;1845.61
9300;122176.07;117468;128381;3875.57
9400;121230.85;119311;123410;1464.74
9500;124279.67;120297;127305;2798.30
9600;125392.69;118527;130031;3182.36
9700;128459.38;123584;131340;2878.54
9800;128160.34;124682;135030;3299.58
9900;128235.06;124950;131019;1924.96
10000;130490.88;124539;135444;3444.40
