n;avg;min;max;standard_deviation
100;7;6;17;1.65
200;15;13;32;2.44
300;23;20;39;3.10
400;31;28;47;2.88
500;38;34;55;2.83
600;46;42;83;6.02
700;54;48;79;5.32
800;62;55;86;5.96
900;69;64;94;4.08
1000;77;70;110;5.01
1100;85;76;126;7.53
1200;92;81;131;8.50
1300;98;87;140;8.16
1400;109;92;140;9.45
1500;112;99;156;9.10
1600;118;106;150;8.37
1700;126;111;192;9.51
1800;133;121;178;9.44
1900;140;128;173;7.62
2000;147;136;199;9.10
2100;156;138;201;11.75
2200;164;152;209;11.60
2300;172;149;214;12.06
2400;179;159;218;11.09
2500;185;169;229;11.92
2600;191;170;236;11.61
2700;199;180;253;13.00
2800;211;191;262;11.48
2900;219;199;294;14.89
3000;226;208;269;11.27
3100;234;216;291;15.02
3200;242;218;329;17.57
3300;249;223;316;17.11
3400;253;227;289;11.56
3500;262;241;322;15.29
3600;268;242;318;16.95
3700;277;249;337;18.02
3800;288;255;375;18.46
3900;290;260;350;14.81
4000;297;270;336;13.03
4100;304;272;356;15.90
4200;310;282;349;16.25
4300;317;283;376;16.13
4400;325;295;381;14.63
4500;334;306;387;16.15
4600;342;310;429;18.34
4700;347;312;384;15.77
4800;357;330;437;19.69
4900;358;321;423;15.28
5000;371;337;432;19.15
5100;379;348;479;21.83
5200;388;353;461;18.30
5300;392;350;443;18.93
5400;399;374;523;21.64
5500;408;374;467;19.97
5600;415;375;494;22.98
5700;421;381;477;19.61
5800;424;391;486;17.38
5900;431;389;513;21.24
6000;441;393;523;23.03
6100;445;404;515;17.89
6200;455;411;534;19.62
6300;466;422;542;22.13
6400;481;444;565;25.00
6500;485;435;582;28.92
6600;491;455;564;22.49
6700;492;454;622;23.12
6800;503;452;582;23.69
6900;508;461;573;24.10
7000;518;474;597;25.49
7100;523;482;596;21.55
7200;536;488;627;25.71
7300;541;500;612;22.84
7400;551;500;657;26.38
7500;555;497;639;25.81
7600;561;516;677;26.75
7700;577;533;658;25.34
7800;575;527;724;26.58
7900;589;543;693;27.46
8000;587;538;680;24.07
8100;592;532;683;24.38
8200;605;557;692;26.86
8300;609;562;673;23.05
8400;622;575;730;29.22
8500;624;576;699;24.76
8600;628;580;701;25.06
8700;641;589;742;27.06
8800;647;578;706;25.17
8900;653;590;735;25.74
9000;660;612;783;29.67
9100;669;623;731;22.85
9200;675;613;805;33.29
9300;681;627;798;31.46
9400;693;634;774;27.96
9500;695;630;824;30.26
9600;707;649;784;27.66
9700;707;643;783;27.94
9800;727;671;899;33.91
9900;723;639;812;27.04
10000;736;674;807;26.31
