n;avg;min;max;standard_deviation
100;1312.00;1312;1312;0.00
200;4531.00;4531;4531;0.00
300;6989.00;6989;6989;0.00
400;10106.00;10106;10106;0.00
500;13313.00;13313;13313;0.00
600;17271.39;14637;17298;264.77
700;19958.00;19958;19958;0.00
800;20919.00;19611;21355;755.17
900;25580.38;25363;28986;860.41
1000;28547.00;28547;28547;0.00
1100;31410.04;30150;33856;1755.56
1200;34193.45;32214;35569;1650.10
1300;36988.50;36353;38403;948.11
1400;51345.40;40872;55834;6856.45
1500;45479.68;45308;45772;224.02
1600;49762.39;45935;53746;3904.72
1700;52197.20;49505;57197;3668.85
1800;58147.08;57819;59693;620.39
1900;54601.65;53418;56453;1480.32
2000;54920.28;51401;72275;3630.24
2100;63144.00;58808;69648;5310.49
2200;75412.22;66901;78063;4654.88
2300;72053.84;64341;77446;6432.34
2400;76515.30;72761;79587;3395.89
2500;78653.46;74280;85728;5436.31
2600;81891.74;75765;90941;6855.76
2700;84081.32;78859;90170;5057.75
2800;100216.50;91357;102750;3520.85
2900;91903.74;79919;99969;4307.59
3000;103328.77;102946;104489;635.11
3100;105645.35;100694;120921;7137.34
3200;101095.14;99550;106104;2589.27
3300;112951.57;106642;121685;7037.84
3400;110072.84;95647;117335;9694.48
3500;113518.80;108010;119237;4701.72
3600;120826.25;115998;125208;3963.70
3700;134825.24;120160;157581;16639.91
3800;125561.36;112955;143863;9885.12
3900;133034.54;116823;149581;12738.30
4000;141972.78;127352;150968;10131.36
4100;152424.07;134449;154861;3871.11
4200;141836.25;128890;154161;9729.54
4300;149888.80;135323;161901;11238.89
4400;142149.71;138118;155018;3270.84
4500;155739.27;134267;162078;7015.69
4600;169063.93;164608;171805;2645.79
4700;161813.58;147900;175994;12975.02
4800;174620.21;164811;194070;11681.37
4900;165712.58;151944;175468;6693.73
5000;172864.88;168889;176352;3154.31
5100;174295.76;151555;202616;16064.92
5200;190632.06;155500;207822;20745.99
5300;185185.41;181936;193469;3829.66
5400;193169.12;183394;207722;9003.54
5500;194611.40;178508;217390;12248.55
5600;193861.61;168543;206040;9460.36
5700;212600.49;192142;232825;17487.99
5800;212229.44;199766;230538;11854.35
5900;220505.20;194262;246493;17009.00
6000;221288.24;194989;233223;10470.92
6100;219515.14;197672;241452;17073.57
6200;222638.70;200144;246672;19829.14
6300;222678.47;187107;260118;24016.88
6400;244009.20;204788;272767;23630.13
6500;241423.97;222199;253124;10594.74
6600;249739.18;221333;267768;16981.21
6700;237526.33;220221;265988;16180.54
6800;245011.50;225845;287387;18913.78
6900;256788.70;216199;319940;38035.20
7000;251205.11;240370;281133;11883.94
7100;264030.52;236407;310530;20578.37
7200;269690.01;244911;288806;11837.03
7300;272471.72;246545;316008;22691.06
7400;258317.62;228008;281112;17904.57
7500;272713.47;256609;301217;15152.92
7600;275885.70;250888;318588;19630.35
7700;287681.07;267564;319128;17002.36
7800;303998.93;263505;341897;23314.69
7900;290257.28;266832;306518;14079.53
8000;296159.51;265526;322331;17611.44
8100;322397.21;291426;393669;31259.03
8200;310452.21;286840;327535;9648.26
8300;314416.80;274394;363578;30655.66
8400;312886.85;292305;343142;19299.43
8500;314464.13;291664;343457;16850.04
8600;332821.08;289459;371854;23722.88
8700;332968.34;306609;362407;18638.82
8800;326441.85;266981;379112;42062.15
8900;352319.58;327157;416221;26968.09
9000;349540.78;310776;389357;25686.25
9100;358507.42;319686;416771;34709.27
9200;342740.87;306888;370304;20070.68
9300;355621.11;314551;417371;30555.45
9400;352482.90;329863;403365;27627.39
9500;357548.27;321441;385573;17780.10
9600;376513.15;340586;436654;29811.78
9700;393531.21;344738;458663;36676.80
9800;373150.38;336018;403095;20447.65
9900;384051.56;350402;433981;21117.60
10000;380177.50;338352;405826;20548.40
