n;avg;min;max;standard_deviation
100;1443.95;883;2140;246.69
200;3291.36;2517;4204;329.46
300;5623.72;4752;7738;491.27
400;7713.65;6490;9493;663.29
500;10648.52;7999;13941;1243.32
600;13483.44;10999;17964;1218.32
700;16262.28;12850;19868;1459.15
800;18535.18;13656;26339;2088.63
900;21895.90;17169;27596;2133.73
1000;25603.02;20462;34317;3108.04
1100;28457.52;23048;37764;2937.41
1200;31183.24;24606;39948;3085.41
1300;33639.85;27069;42917;3297.02
1400;37219.42;30622;45847;3127.72
1500;41255.53;34935;51928;3963.24
1600;43229.42;33905;53536;3999.69
1700;46323.98;36649;56897;4493.13
1800;49958.03;36905;64059;5322.22
1900;53964.73;40153;66669;5283.54
2000;56240.95;43208;70106;4958.05
2100;60426.45;47308;82917;6678.29
2200;63099.48;50797;74726;5480.18
2300;67045.60;52360;86314;6133.34
2400;71449.10;60826;88914;6249.90
2500;73759.15;59306;92224;6957.30
2600;77050.95;62586;95396;7196.92
2700;80161.85;62182;101139;7841.04
2800;83272.24;63768;108245;8507.32
2900;86658.81;73097;112290;8028.73
3000;90867.19;77442;115800;7862.02
3100;93880.52;71319;117429;9498.69
3200;98589.46;78568;127381;9266.42
3300;99721.88;83993;128794;8657.22
3400;105369.58;86792;132521;10557.47
3500;108184.27;84618;146979;11376.06
3600;110492.28;89347;134141;10246.43
3700;115034.76;91031;145069;9899.21
3800;117375.59;95665;154219;11612.67
3900;123847.40;98805;163824;12335.60
4000;128181.57;103147;155312;11464.27
4100;130190.25;104569;159109;12028.85
4200;133503.23;107035;166181;12070.88
4300;138714.08;114424;172073;12359.01
4400;142423.11;111440;194843;15425.22
4500;146987.59;120768;181567;12664.04
4600;148520.38;117926;193701;13955.40
4700;154147.42;125594;185005;13755.98
4800;158060.28;126246;199910;15655.95
4900;156972.26;127809;210514;15120.87
5000;165803.85;127214;210531;15186.36
5100;165297.40;134624;205844;14386.42
5200;169869.45;132475;216730;15968.98
5300;172128.54;138577;205782;14132.78
5400;175288.81;140617;219575;16039.59
5500;180564.58;146556;224568;15840.29
5600;185420.16;152559;239587;15576.13
5700;189008.14;161058;243803;16529.78
5800;191495.93;152257;236553;18172.68
5900;198756.92;156476;264357;19250.93
6000;196227.94;162479;243414;16588.55
6100;202692.29;155635;255178;18416.75
6200;208347.25;163503;288036;20980.55
6300;214828.37;174991;265632;19920.29
6400;215844.18;173315;283927;21327.30
6500;220070.38;173673;279994;19680.16
6600;223731.32;180955;273971;19562.77
6700;225026.05;173592;272842;17777.87
6800;227302.51;186702;290112;20517.37
6900;234276.92;180305;298974;21414.35
7000;237947.35;193840;310539;21098.94
7100;239386.52;189415;295618;22668.43
7200;243690.04;198026;315570;24808.94
7300;249423.34;189562;311619;22575.32
7400;256302.19;205454;320029;22379.60
7500;258562.13;211139;307600;21878.05
7600;261021.39;206915;318455;25043.52
7700;266085.38;213189;318657;23326.43
7800;264438.78;213510;322664;22728.48
7900;271608.40;198468;334803;27970.08
8000;273650.58;217550;345381;24890.92
8100;281255.89;227307;332108;22430.67
8200;283394.11;218111;356794;26262.85
8300;285718.28;239341;364299;25022.16
8400;293263.27;248536;348150;25316.40
8500;302766.41;249634;380149;31780.89
8600;304575.96;238478;395576;28242.15
8700;303564.77;246273;377207;28542.58
8800;308123.58;250572;371702;26231.81
8900;314146.25;242541;391539;28990.75
9000;313826.02;250643;428534;31725.63
9100;322603.51;270361;413902;26212.38
9200;324608.20;265386;437778;31320.22
9300;325390.93;266059;405343;25838.48
9400;333363.78;262985;419821;28360.16
9500;339209.04;287405;424696;28951.18
9600;343629.38;247803;403221;26346.53
9700;339164.31;278931;409170;30314.09
9800;348646.78;275308;418791;30826.02
9900;354749.18;292580;444020;29959.85
10000;352192.60;280493;443264;31152.38
