n;avg;min;max;standard_deviation
100;1375.63;908;1760;203.50
200;3283.14;1983;4047;387.66
300;5211.17;3062;6449;720.83
400;7441.90;4521;8981;707.80
500;9573.53;5774;11566;1066.14
600;12027.54;7823;14193;985.84
700;14131.23;8524;18123;1596.95
800;16511.08;10220;19936;1643.65
900;19186.34;12260;22465;1551.68
1000;21541.12;13572;25724;1904.26
1100;24278.27;15464;27984;1885.18
1200;26571.89;17209;31502;2231.87
1300;29190.90;17082;33597;2318.73
1400;31573.63;18765;37404;3254.40
1500;34955.14;30557;39655;2227.06
1600;36545.96;23982;42267;3401.54
1700;40051.40;34711;49954;2447.75
1800;41855.24;25164;51057;3796.30
1900;44721.79;28905;56465;4445.63
2000;47402.54;28577;56024;4029.05
2100;50343.91;34146;59537;3560.24
2200;52846.86;33047;60050;3940.44
2300;55260.54;35401;64318;4269.32
2400;58062.84;34635;70046;4734.61
2500;61079.17;39540;70958;4765.85
2600;64555.59;44481;78552;4633.27
2700;67319.40;44321;79322;5206.38
2800;69292.67;43538;82952;5662.27
2900;72712.44;42949;80951;5765.03
3000;75390.95;47916;87749;5552.39
3100;77183.63;49314;91821;6556.87
3200;81296.28;71782;94970;4903.08
3300;83081.14;51494;97936;6667.50
3400;86544.87;50476;99669;7857.92
3500;89166.51;56293;105966;7410.07
3600;92038.23;61047;109181;6581.75
3700;95212.96;83945;109709;5494.57
3800;97112.53;62612;110329;7769.26
3900;101586.08;65816;116110;6569.86
4000;102696.37;67110;117458;8294.31
4100;105176.32;65420;124302;10241.81
4200;109545.95;69060;129059;8836.76
4300;113120.87;70092;135376;8866.79
4400;117108.81;102523;131803;6634.75
4500;118045.32;70444;138395;9665.76
4600;119774.49;75388;136472;8294.94
4700;126319.42;108434;148800;7883.15
4800;126906.80;82479;150187;10398.53
4900;129292.27;90820;152578;7622.48
5000;134908.85;114168;153309;7527.24
5100;135722.94;86946;153986;10869.36
5200;139314.60;88579;160612;10949.53
5300;139799.02;89000;164489;12155.83
5400;144655.58;93231;161678;9843.41
5500;147756.59;95187;185059;11986.56
5600;151952.04;132549;170064;7923.62
5700;152411.80;99937;178398;11936.29
5800;155191.04;101033;174717;11815.45
5900;159257.55;98336;184145;11789.24
6000;163373.39;101498;193322;12692.58
6100;166347.88;149015;198746;10322.11
6200;171633.45;150138;205672;10504.44
6300;173249.87;104641;197467;11631.33
6400;173526.10;107167;201266;16018.44
6500;178051.66;111977;214099;12591.59
6600;182892.80;115803;215397;13581.59
6700;183984.71;111298;212158;13147.61
6800;187577.47;119777;220782;14589.91
6900;192896.27;120014;218318;12773.02
7000;194022.24;127481;224871;12897.42
7100;199735.41;171896;229762;11787.38
7200;202078.02;127146;245111;14075.42
7300;202256.46;169061;242003;12462.85
7400;206427.43;135525;229510;13694.46
7500;208315.40;183743;242981;10587.06
7600;213089.76;133081;254802;17276.28
7700;213837.84;129525;244273;18340.48
7800;217697.67;132380;250557;16937.30
7900;223049.56;195265;250013;11340.30
8000;223420.87;132746;248268;16001.14
8100;227520.30;146151;280202;17932.43
8200;229857.68;142861;273753;16189.58
8300;238874.67;203348;289206;15035.28
8400;236725.87;149174;269992;14479.16
8500;242238.15;214688;273941;12452.30
8600;244179.92;156978;275547;15435.55
8700;247253.52;159796;289348;17946.92
8800;250939.84;213445;284932;13913.66
8900;250754.09;156847;293889;19465.93
9000;257116.38;227274;298588;12846.76
9100;260318.62;171698;297926;17331.56
9200;262442.99;168066;302460;18965.67
9300;265204.78;155895;304150;18430.27
9400;264367.16;162587;295934;19658.89
9500;269763.79;170718;299883;19663.34
9600;276084.22;176418;323428;18123.06
9700;276949.21;181494;321936;17718.75
9800;284412.13;190302;325125;20398.48
9900;283149.41;180330;323865;22314.73
10000;289767.79;248043;326952;14809.67
