n;avg;min;max;standard_deviation
100;486.97;405;564;31.99
200;1091.24;961;1196;47.13
300;1743.58;1547;2000;89.05
400;2426.88;2244;2622;87.40
500;3135.10;2856;3447;123.42
600;3854.54;3507;4508;155.63
700;4597.72;4257;5244;165.91
800;5344.50;4752;5948;234.87
900;6066.56;5495;6674;238.52
1000;6867.88;6395;7903;285.84
1100;7643.45;7074;8869;296.67
1200;8462.58;7680;9334;326.16
1300;9266.84;8441;10359;326.47
1400;10045.77;9201;11255;390.13
1500;10818.74;9893;11855;376.69
1600;11702.48;10810;12645;349.03
1700;12447.73;11206;13514;475.82
1800;13305.20;12332;14812;499.16
1900;14161.88;13253;15268;425.26
2000;14956.80;13692;16742;527.62
2100;15772.86;14737;17651;542.21
2200;16622.17;15004;18269;565.34
2300;17473.68;16169;18839;565.52
2400;18281.84;16789;19717;643.78
2500;19148.89;17534;20809;626.50
2600;20056.66;18287;21569;627.15
2700;20846.39;18591;22158;609.49
2800;21811.41;19575;23591;730.49
2900;22652.15;21234;24475;725.80
3000;23591.44;21725;26354;905.88
3100;24355.20;22631;27004;779.70
3200;25207.53;23168;27801;917.29
3300;26152.41;23628;28422;875.85
3400;27028.65;25250;29393;865.59
3500;27802.60;26166;30045;835.87
3600;28870.51;26585;31771;1049.01
3700;29494.29;27314;32231;948.10
3800;30308.23;27886;32531;915.10
3900;31401.77;28505;34092;962.35
4000;32092.85;30075;34754;973.84
4100;33121.81;30065;36030;1098.62
4200;34023.46;31697;36809;1067.12
4300;34867.37;31645;37462;1041.68
4400;35939.86;33580;38723;1083.79
4500;36656.33;34164;40212;1183.01
4600;37769.03;34982;41528;1244.97
4700;38637.55;35347;41589;1211.85
4800;39432.83;36480;43012;1099.09
4900;40539.32;37680;43898;1229.84
5000;41307.14;37946;45202;1286.67
5100;42047.95;39195;45524;1258.37
5200;43271.76;40692;45907;1244.01
5300;44144.84;40649;47422;1285.85
5400;45069.01;41660;50545;1537.30
5500;45824.27;42997;49255;1307.30
5600;46585.03;43288;49786;1524.00
5700;47998.61;44957;52384;1514.07
5800;48617.13;45640;52213;1507.93
5900;49514.52;45875;54440;1629.88
6000;50180.12;46579;53708;1472.21
6100;51385.86;48378;55011;1468.35
6200;52333.55;48743;55410;1567.59
6300;53069.53;49453;56415;1576.96
6400;54205.09;49672;59108;1624.76
6500;54994.63;50968;58634;1506.76
6600;56072.85;52097;60784;1615.80
6700;57158.69;53584;62258;1738.54
6800;57757.02;53638;61878;1736.27
6900;58733.15;54347;62920;1773.98
7000;60075.48;56018;64092;1710.97
7100;61019.78;57417;66077;1771.44
7200;61659.09;57103;66598;1926.18
7300;62345.76;58601;68185;1921.40
7400;63827.87;56912;70673;2063.98
7500;64651.18;61319;70522;1850.14
7600;65156.42;61773;70060;1598.06
7700;66339.32;62094;72338;1961.37
7800;67506.75;62020;72419;2292.45
7900;68630.53;64442;75143;1962.47
8000;69445.55;65596;74283;1912.88
8100;69783.30;65275;74926;1890.92
8200;70914.15;65743;75224;1871.98
8300;72195.90;67665;76734;2042.91
8400;73155.48;68805;79630;2302.98
8500;74627.72;69047;80770;2194.01
8600;74719.50;70219;81249;2193.54
8700;75491.46;69969;84029;2067.84
8800;76871.78;72412;81996;1994.09
8900;77908.14;72929;86571;2283.70
9000;78902.46;73273;85827;2606.85
9100;79967.22;75473;87262;2255.66
9200;80688.35;75698;85945;2276.81
9300;81531.56;75901;88271;2251.66
9400;83059.50;75823;93068;2702.64
9500;84004.69;80183;89637;2141.43
9600;84478.46;80194;90188;2041.46
9700;85539.08;80024;91654;2364.08
9800;86864.08;81080;93185;2558.90
9900;87192.56;81279;93707;2600.20
10000;88637.13;83647;94848;2447.76
