n;avg;min;max;standard_deviation
100;8;7;19;1.40
200;15;14;24;1.73
300;24;23;41;3.06
400;29;28;38;2.48
500;38;36;62;3.66
600;45;43;59;2.88
700;54;51;71;4.22
800;63;58;94;6.12
900;72;61;105;6.64
1000;80;74;113;5.49
1100;84;78;109;5.35
1200;95;87;134;8.80
1300;99;93;136;7.43
1400;111;104;145;6.83
1500;117;106;150;7.18
1600;125;116;165;9.43
1700;132;125;187;8.76
1800;139;131;178;7.03
1900;145;136;191;10.71
2000;160;150;207;11.64
2100;164;153;206;11.99
2200;174;160;249;11.24
2300;179;169;244;10.69
2400;187;176;290;15.00
2500;196;180;272;14.86
2600;203;191;247;8.90
2700;210;196;263;10.50
2800;224;205;261;9.53
2900;229;209;278;11.59
3000;235;215;286;13.52
3100;242;224;284;11.81
3200;253;234;310;13.87
3300;258;239;319;14.51
3400;260;242;301;12.36
3500;274;253;321;12.71
3600;281;258;321;11.75
3700;294;275;342;14.79
3800;294;274;358;16.21
3900;306;288;356;11.74
4000;315;294;374;14.49
4100;317;299;374;13.15
4200;328;305;386;15.42
4300;334;314;385;15.38
4400;345;321;409;14.59
4500;354;332;419;15.34
4600;365;337;466;20.49
4700;371;345;441;16.03
4800;382;356;443;17.40
4900;384;359;452;17.50
5000;392;361;443;17.82
5100;398;372;450;16.46
5200;403;376;451;16.77
5300;411;380;508;19.85
5400;427;395;497;20.63
5500;438;412;507;19.08
5600;440;407;493;17.29
5700;441;414;505;15.91
5800;454;423;520;18.44
5900;478;438;527;20.55
6000;471;428;549;18.36
6100;486;438;591;26.90
6200;485;451;585;24.12
6300;488;453;575;23.80
6400;504;469;635;28.47
6500;509;475;587;20.29
6600;514;478;584;21.44
6700;519;479;621;23.25
6800;533;498;610;22.68
6900;541;508;626;21.80
7000;544;503;600;21.53
7100;557;509;628;25.55
7200;567;517;690;28.58
7300;578;541;699;25.39
7400;582;543;655;23.44
7500;588;539;658;22.47
7600;584;536;657;23.11
7700;603;555;749;33.93
7800;610;563;673;21.28
7900;623;581;730;21.83
8000;627;582;718;21.14
8100;629;584;684;22.46
8200;638;593;697;20.23
8300;643;600;721;24.22
8400;659;616;770;28.79
8500;662;616;733;22.94
8600;666;598;775;25.01
8700;671;607;785;30.67
8800;684;633;744;22.57
8900;701;655;770;26.14
9000;711;664;795;27.02
9100;713;675;804;25.56
9200;707;655;812;27.67
9300;727;674;802;26.61
9400;735;681;869;29.57
9500;739;692;853;25.69
9600;750;682;865;27.32
9700;755;703;839;27.65
9800;761;712;861;31.05
9900;769;715;897;32.24
10000;778;714;856;25.25
