n;avg;min;max;standard_deviation
100;7;7;20;1.70
200;17;16;26;1.28
300;25;24;36;2.23
400;33;31;62;3.10
500;38;36;59;4.03
600;47;45;66;2.81
700;56;54;72;2.51
800;64;60;89;4.39
900;74;69;100;4.58
1000;79;74;104;6.08
1100;85;79;107;6.00
1200;93;86;134;7.62
1300;104;97;144;7.33
1400;111;105;133;4.55
1500;117;110;151;6.55
1600;128;121;154;6.55
1700;127;120;175;9.23
1800;138;128;190;10.23
1900;150;138;219;10.91
2000;158;147;205;9.58
2100;164;153;208;8.53
2200;175;160;234;11.47
2300;181;167;236;11.26
2400;182;171;225;9.90
2500;192;179;240;10.67
2600;202;190;254;14.62
2700;206;188;302;15.29
2800;219;203;253;10.58
2900;233;215;289;13.04
3000;238;218;278;10.99
3100;234;215;298;13.60
3200;258;233;313;15.00
3300;249;230;309;12.56
3400;261;239;302;13.67
3500;271;250;345;14.43
3600;287;270;338;13.82
3700;286;264;339;15.42
3800;297;271;351;15.88
3900;304;282;368;16.08
4000;324;303;384;14.73
4100;318;295;404;17.22
4200;333;312;390;15.85
4300;340;316;407;16.72
4400;332;309;374;13.57
4500;355;330;410;16.84
4600;367;322;464;24.35
4700;367;334;451;19.13
4800;368;336;409;13.53
4900;374;349;437;16.51
5000;393;358;470;15.13
5100;394;367;450;15.14
5200;403;377;454;16.20
5300;410;378;471;18.17
5400;424;384;497;20.58
5500;430;390;518;23.47
5600;424;390;499;17.34
5700;441;412;509;17.21
5800;458;429;508;17.31
5900;456;411;517;20.52
6000;467;426;537;22.99
6100;482;436;597;21.89
6200;473;427;541;25.79
6300;485;449;561;23.51
6400;491;436;587;30.02
6500;510;473;625;29.78
6600;509;468;595;23.95
6700;526;485;677;28.40
6800;517;481;573;18.73
6900;533;495;622;28.46
7000;539;483;616;27.48
7100;541;508;584;17.65
7200;564;511;643;27.69
7300;565;526;656;24.50
7400;576;520;657;28.78
7500;573;533;638;21.18
7600;600;549;689;28.51
7700;597;550;673;24.34
7800;600;551;735;31.05
7900;610;565;692;26.66
8000;615;577;732;25.78
8100;607;566;696;23.86
8200;626;576;735;31.34
8300;630;576;725;22.62
8400;645;569;738;33.65
8500;649;590;730;30.33
8600;653;614;720;21.59
8700;659;616;741;23.70
8800;672;637;738;21.60
8900;687;621;764;27.91
9000;701;640;787;25.47
9100;714;632;806;31.95
9200;706;651;824;30.51
9300;720;662;806;30.13
9400;721;661;846;30.16
9500;730;666;858;35.38
9600;741;683;869;32.70
9700;743;681;871;32.24
9800;750;700;870;32.86
9900;749;698;853;27.49
10000;772;714;840;30.94
