n;avg;min;max;standard_deviation
100;7;4;12;1.57
200;14;11;24;1.71
300;22;20;39;3.29
400;30;27;47;3.46
500;37;31;63;5.35
600;44;39;79;6.05
700;52;45;74;5.32
800;60;54;90;6.35
900;67;58;89;4.25
1000;75;66;107;5.20
1100;81;74;106;4.61
1200;89;80;129;7.57
1300;94;84;128;7.17
1400;103;95;127;5.49
1500;108;99;137;6.35
1600;117;106;168;10.91
1700;125;115;173;10.41
1800;131;118;173;9.42
1900;136;121;187;8.37
2000;145;126;191;10.28
2100;153;142;225;12.68
2200;161;142;232;12.29
2300;167;151;201;9.12
2400;176;163;216;10.96
2500;183;164;267;13.74
2600;189;174;241;12.09
2700;198;182;277;15.81
2800;210;192;263;13.78
2900;215;189;268;12.03
3000;224;206;288;12.75
3100;229;211;296;12.69
3200;238;214;299;15.11
3300;243;222;284;12.97
3400;253;223;327;16.82
3500;261;238;327;15.36
3600;269;246;358;17.57
3700;272;251;325;14.32
3800;281;255;341;16.13
3900;287;259;363;15.63
4000;295;265;333;14.25
4100;302;273;405;18.66
4200;307;284;345;12.24
4300;318;287;371;17.73
4400;323;301;386;16.98
4500;338;310;399;17.81
4600;342;307;401;19.40
4700;345;318;412;16.27
4800;353;322;396;16.07
4900;359;328;463;18.44
5000;363;339;411;12.89
5100;376;352;427;16.90
5200;385;354;482;20.66
5300;389;347;451;17.75
5400;394;354;458;18.27
5500;403;369;471;18.29
5600;412;381;472;18.33
5700;416;379;465;17.59
5800;425;401;489;16.90
5900;429;378;500;20.01
6000;437;405;522;18.89
6100;448;415;506;21.65
6200;451;422;521;21.31
6300;459;426;521;18.58
6400;476;439;540;20.11
6500;478;438;573;24.15
6600;480;447;601;20.95
6700;493;453;590;26.55
6800;503;452;603;28.04
6900;505;470;565;18.30
7000;516;478;603;23.03
7100;528;480;625;24.39
7200;535;493;632;26.41
7300;541;493;667;27.16
7400;545;495;638;22.95
7500;555;511;673;26.84
7600;563;520;651;26.50
7700;571;522;653;24.94
7800;572;528;661;22.76
7900;577;528;652;22.77
8000;586;541;643;21.92
8100;588;531;675;21.34
8200;600;544;687;27.16
8300;610;548;823;34.24
8400;617;568;715;27.03
8500;620;573;720;26.49
8600;628;564;718;29.88
8700;636;593;707;22.80
8800;642;590;776;28.13
8900;651;603;721;26.93
9000;657;597;753;26.03
9100;667;628;742;24.23
9200;674;615;786;32.19
9300;681;631;799;28.82
9400;691;644;772;24.14
9500;698;633;772;26.41
9600;705;646;783;24.79
9700;710;656;789;24.84
9800;715;666;821;26.57
9900;727;654;855;30.91
10000;731;673;809;28.86
