n;avg;min;max;standard_deviation
100;8;4;16;1.92
200;17;9;45;4.12
300;25;14;38;3.53
400;34;19;49;4.14
500;42;23;61;7.01
600;51;27;76;6.91
700;62;32;98;8.19
800;71;36;109;9.70
900;79;41;108;11.53
1000;91;48;152;11.98
1100;98;53;134;10.41
1200;107;55;158;13.34
1300;114;58;156;11.44
1400;127;110;204;10.98
1500;133;69;175;14.70
1600;142;74;190;12.91
1700;151;80;251;16.22
1800;158;80;223;17.65
1900;166;89;233;19.02
2000;178;91;225;15.25
2100;184;95;258;23.42
2200;194;106;242;14.32
2300;205;107;274;18.69
2400;212;110;280;23.78
2500;217;115;279;24.03
2600;226;116;288;27.26
2700;240;131;311;21.01
2800;250;130;310;25.83
2900;261;137;339;25.04
3000;264;136;318;32.47
3100;281;150;327;18.85
3200;284;150;335;33.49
3300;296;270;363;16.22
3400;309;157;379;28.58
3500;311;163;374;40.54
3600;324;176;407;29.86
3700;333;169;386;27.98
3800;335;168;391;43.38
3900;352;175;407;26.15
4000;362;331;425;18.79
4100;369;189;421;25.34
4200;376;194;430;25.75
4300;385;201;441;26.43
4400;394;198;448;27.25
4500;404;217;452;25.91
4600;407;211;491;40.07
4700;418;220;514;43.77
4800;427;218;496;37.41
4900;439;238;496;28.03
5000;439;229;527;49.60
5100;459;421;522;22.89
5200;474;258;570;37.29
5300;480;262;551;31.15
5400;476;252;557;44.10
5500;488;246;563;51.67
5600;501;456;575;23.18
5700;503;261;583;40.27
5800;516;471;604;24.38
5900;527;298;597;31.37
6000;534;282;626;36.79
6100;533;274;644;55.92
6200;552;289;632;35.27
6300;563;291;661;55.06
6400;579;304;665;36.64
6500;581;298;679;41.13
6600;593;300;677;41.01
6700;609;560;698;27.65
6800;602;301;701;48.35
6900;620;353;770;44.52
7000;633;319;733;44.74
7100;651;586;811;35.26
7200;646;351;761;58.36
7300;655;351;792;51.80
7400;667;350;760;54.87
7500;676;355;834;53.09
7600;689;363;832;44.91
7700;696;374;788;53.73
7800;713;648;841;35.39
7900;707;372;847;75.35
8000;713;404;829;43.72
8100;723;369;873;67.25
8200;718;379;814;72.76
8300;752;684;855;34.90
8400;752;411;846;43.59
8500;764;707;937;36.23
8600;765;420;945;66.69
8700;806;430;893;47.47
8800;798;711;909;31.94
8900;805;433;914;50.93
9000;809;436;955;53.37
9100;817;494;945;46.49
9200;819;423;985;63.68
9300;833;770;915;29.58
9400;846;436;971;53.14
9500;844;450;944;63.79
9600;870;813;984;35.45
9700;866;449;943;52.33
9800;884;824;1004;35.23
9900;887;454;976;53.92
10000;897;464;986;54.31
