n;avg;min;max;standard_deviation
100;420.78;298;522;41.46
200;971.03;740;1094;64.68
300;1550.53;1219;1786;107.35
400;2166.98;1756;2412;114.03
500;2819.88;2324;3259;161.19
600;3503.03;3026;4021;159.42
700;4129.92;3412;4617;223.33
800;4801.94;3968;5419;248.84
900;5521.37;4485;6061;267.43
1000;6257.50;5292;7053;270.74
1100;6938.26;5709;7513;292.84
1200;7648.01;6390;8499;343.33
1300;8417.25;7250;9163;311.97
1400;9105.93;7490;10141;416.38
1500;9894.18;8597;11010;380.89
1600;10635.52;8396;11795;490.95
1700;11388.83;10166;12342;405.26
1800;12112.75;10045;13211;512.59
1900;12806.13;10903;14105;573.51
2000;13700.51;11725;15150;543.73
2100;14473.59;12536;15555;488.64
2200;15127.50;13276;16298;528.37
2300;16029.09;13402;17563;546.35
2400;16758.33;14199;18959;643.87
2500;17507.30;15362;19136;590.28
2600;18445.35;16359;19957;623.66
2700;19130.77;15927;21264;833.80
2800;19869.85;16616;21411;709.48
2900;20657.89;18593;22552;715.87
3000;21622.58;17497;25029;1009.15
3100;22187.33;18968;23764;814.72
3200;23315.67;22112;25934;756.64
3300;23905.12;20724;26373;881.15
3400;24764.95;20375;26161;928.53
3500;25559.14;22847;28167;858.78
3600;26414.71;22724;28956;990.06
3700;27463.17;25578;30444;846.43
3800;27992.93;23137;31404;1031.03
3900;28852.07;26551;31351;878.49
4000;29550.36;24953;32548;1123.62
4100;30362.00;25330;32766;1322.45
4200;31324.82;27114;34600;1079.79
4300;32110.90;27022;34521;1041.83
4400;33111.90;30937;35341;845.33
4500;33822.94;29234;37466;1169.09
4600;34662.84;30094;38673;1191.65
4700;35541.93;32982;38093;1097.42
4800;36389.98;29498;39989;1474.88
4900;37451.92;32917;40659;1208.85
5000;38095.48;36239;41144;1151.39
5100;38911.21;32548;41614;1532.67
5200;40003.36;35301;43406;1268.88
5300;40685.39;33758;44118;1571.03
5400;41613.37;36548;45911;1450.38
5500;42411.75;34765;46062;1686.30
5600;43188.74;39967;47654;1230.60
5700;43782.60;37722;47480;1441.95
5800;44830.72;38250;48161;1401.38
5900;45672.72;39632;50173;1577.69
6000;46531.59;40088;49506;1589.69
6100;47529.35;44423;51586;1343.02
6200;48481.62;45368;51961;1318.84
6300;49215.45;41081;54103;1786.99
6400;49740.30;42519;53153;1871.01
6500;50942.99;43998;55257;1660.61
6600;51709.43;44546;54956;1564.02
6700;52584.17;44748;55819;1647.92
6800;53519.68;44803;58018;1675.72
6900;54494.89;45491;60390;1873.13
7000;55532.98;49943;59992;1477.78
7100;56235.62;52084;61153;1634.17
7200;57172.19;48872;61550;1791.42
7300;57974.81;54411;63789;1689.86
7400;58931.22;52040;63356;1781.38
7500;59779.57;56512;63473;1554.33
7600;60177.41;49707;65193;2116.47
7700;61285.27;53579;67001;2102.10
7800;62573.95;54363;68008;1947.42
7900;63386.15;57916;68240;1748.54
8000;64335.42;54742;71534;2430.53
8100;64874.34;54151;69206;2033.32
8200;65623.89;58939;70406;2090.35
8300;66772.04;62568;72380;1684.96
8400;67714.83;59960;73560;2040.35
8500;68803.83;64896;72894;1890.32
8600;69380.53;64323;75409;2103.37
8700;70480.84;60485;77778;2301.47
8800;71424.77;67981;76558;1796.81
8900;72069.69;62717;78290;2148.92
9000;73135.43;68052;80128;2072.56
9100;74158.66;65608;83215;2437.17
9200;74821.19;65047;80487;2231.80
9300;75942.57;67902;82859;2239.13
9400;76562.12;66810;82670;2413.54
9500;77693.68;65642;84977;2775.51
9600;78063.63;68555;84506;2269.35
9700;79299.13;66548;85604;2390.71
9800;79869.88;68688;84985;2160.52
9900;80927.03;71292;86042;2486.56
10000;82230.19;75620;86904;2479.15
