n;avg;min;max;standard_deviation
100;8;8;17;1.87
200;15;14;31;2.61
300;22;21;38;3.22
400;29;27;46;3.68
500;38;36;55;2.66
600;45;43;63;3.46
700;53;50;76;5.11
800;58;53;84;5.45
900;67;59;88;4.67
1000;78;73;102;4.69
1100;84;77;131;8.23
1200;89;84;138;6.82
1300;97;92;120;4.91
1400;107;99;136;6.87
1500;110;102;138;6.19
1600;123;112;158;8.33
1700;128;120;174;9.52
1800;137;129;199;10.65
1900;145;138;177;7.52
2000;151;141;193;11.22
2100;159;148;192;8.52
2200;170;158;233;12.00
2300;168;157;228;10.85
2400;171;158;237;13.41
2500;187;175;240;12.55
2600;190;166;247;15.45
2700;198;179;248;13.85
2800;212;193;255;10.37
2900;224;210;275;10.82
3000;226;211;307;11.99
3100;230;211;261;11.91
3200;232;210;288;15.78
3300;239;214;284;15.51
3400;260;236;303;14.15
3500;264;246;318;12.65
3600;272;248;338;18.66
3700;278;262;330;11.85
3800;283;257;347;14.50
3900;287;258;354;14.63
4000;302;271;365;16.66
4100;307;282;354;15.62
4200;317;292;406;17.19
4300;318;296;387;15.46
4400;336;315;381;16.08
4500;340;315;438;19.90
4600;352;321;416;16.23
4700;341;312;425;18.16
4800;364;338;418;16.88
4900;361;321;442;21.50
5000;380;351;454;19.19
5100;380;358;426;14.46
5200;388;357;447;19.32
5300;395;364;464;19.00
5400;405;379;466;17.00
5500;403;365;458;18.55
5600;415;383;519;25.37
5700;422;390;496;18.54
5800;440;407;516;19.84
5900;441;402;514;19.49
6000;451;416;529;24.00
6100;462;423;546;20.48
6200;470;436;561;24.92
6300;474;429;549;24.12
6400;469;438;546;19.68
6500;478;427;587;28.21
6600;488;437;594;27.72
6700;501;436;606;25.84
6800;507;474;602;25.04
6900;511;469;590;22.97
7000;523;486;610;24.06
7100;530;498;616;24.15
7200;525;472;587;24.68
7300;540;499;638;22.97
7400;552;517;630;23.06
7500;549;505;665;26.14
7600;559;524;655;23.77
7700;568;526;660;24.27
7800;584;544;646;21.73
7900;587;543;657;23.21
8000;599;531;737;30.07
8100;598;562;667;21.59
8200;593;525;679;35.66
8300;606;534;690;30.22
8400;619;583;692;21.62
8500;630;594;729;25.67
8600;630;597;734;25.22
8700;639;580;701;26.24
8800;638;537;713;38.27
8900;647;581;738;30.29
9000;663;599;729;26.56
9100;675;622;760;23.44
9200;680;620;757;24.48
9300;681;627;740;24.58
9400;695;653;781;28.99
9500;709;657;799;30.21
9600;713;620;803;35.47
9700;718;656;791;30.88
9800;721;653;865;30.22
9900;730;671;852;26.96
10000;741;689;816;25.99
