n;avg;min;max;standard_deviation
100;7;7;9;1.07
200;16;16;26;1.95
300;24;23;41;2.56
400;31;29;48;3.62
500;42;40;66;5.28
600;45;43;70;3.80
700;57;54;78;4.34
800;63;58;96;4.87
900;70;66;103;5.19
1000;81;77;114;5.38
1100;89;85;129;6.27
1200;94;89;135;6.78
1300;105;98;140;7.98
1400;109;101;141;7.38
1500;117;111;152;6.59
1600;124;116;165;8.58
1700;136;124;182;11.11
1800;142;133;191;10.21
1900;143;135;166;5.81
2000;151;139;198;10.92
2100;160;149;212;8.67
2200;166;155;210;10.65
2300;178;167;228;11.17
2400;176;161;222;10.96
2500;194;181;233;11.29
2600;192;169;250;16.00
2700;200;181;270;13.06
2800;217;202;241;7.37
2900;228;206;283;13.75
3000;231;215;267;11.17
3100;237;215;282;12.02
3200;241;216;293;15.16
3300;248;223;317;16.92
3400;263;245;307;11.94
3500;267;250;329;13.46
3600;271;255;304;9.97
3700;278;258;329;14.15
3800;284;263;323;12.63
3900;292;259;333;14.66
4000;305;283;354;15.33
4100;315;294;359;14.32
4200;319;297;404;17.42
4300;325;302;404;15.59
4400;331;303;382;14.58
4500;342;319;436;19.24
4600;351;321;402;14.66
4700;353;318;427;18.40
4800;367;342;403;12.83
4900;369;328;438;21.08
5000;382;360;449;15.45
5100;389;354;487;23.40
5200;394;364;453;16.91
5300;395;351;454;22.20
5400;411;383;475;17.73
5500;411;374;503;22.75
5600;424;394;490;19.17
5700;431;393;519;22.12
5800;447;417;551;21.29
5900;449;417;519;17.40
6000;457;412;507;19.24
6100;464;429;528;17.03
6200;463;428;541;20.25
6300;478;442;562;22.26
6400;484;450;611;27.60
6500;485;432;547;25.77
6600;495;443;592;29.59
6700;502;449;579;23.63
6800;512;475;596;23.11
6900;515;471;609;26.41
7000;525;490;613;22.47
7100;538;494;624;27.50
7200;531;472;610;28.40
7300;541;501;646;25.06
7400;555;518;645;26.06
7500;559;507;671;31.33
7600;574;540;697;24.62
7700;574;526;694;29.66
7800;591;556;671;20.44
7900;587;533;654;22.51
8000;589;521;680;30.23
8100;609;569;696;22.77
8200;598;538;671;28.79
8300;613;549;702;31.67
8400;624;590;695;19.69
8500;632;589;711;23.54
8600;644;582;693;23.58
8700;647;599;719;24.20
8800;651;578;748;32.96
8900;662;588;737;28.65
9000;661;613;763;30.28
9100;683;638;750;24.52
9200;683;607;754;26.27
9300;698;650;782;29.85
9400;697;658;831;27.56
9500;706;652;796;31.25
9600;718;637;798;27.20
9700;721;651;829;30.86
9800;715;631;832;35.41
9900;733;693;814;26.75
10000;753;669;855;36.12
