n;avg;min;max;standard_deviation
100;1399.37;893;2019;213.98
200;3163.88;1998;4435;471.95
300;5225.47;3109;6769;694.95
400;7170.25;4358;9338;925.76
500;9479.30;7733;11824;860.84
600;11341.70;6816;13953;1298.31
700;13951.06;8285;17425;1523.47
800;16313.06;9728;21038;1799.37
900;18222.99;10539;22772;1975.80
1000;20781.69;13228;25025;2044.53
1100;22723.41;14438;28015;2284.22
1200;25612.87;15323;30020;2689.75
1300;28270.93;17326;33601;2706.10
1400;30846.44;19119;37698;2470.57
1500;32796.55;20070;40597;2926.24
1600;35791.55;21296;41473;3453.56
1700;38432.48;24624;45454;3436.03
1800;40744.26;26546;49217;3317.35
1900;43101.51;26476;51631;3877.23
2000;46003.85;29997;55133;3805.23
2100;49084.29;29061;58396;4223.76
2200;50743.47;30907;60190;6188.71
2300;53495.12;32987;63354;4478.82
2400;57003.92;49408;66889;3900.19
2500;59987.76;36771;70166;5097.21
2600;61421.11;37017;75259;6027.16
2700;63295.89;39640;74720;5538.54
2800;67036.64;56746;78280;4405.05
2900;69626.16;45311;84456;5209.88
3000;72808.67;63420;85204;4307.12
3100;74573.73;46695;87411;6747.49
3200;78358.28;47661;93676;7465.48
3300;80199.15;51869;97888;6530.74
3400;83060.96;54514;101235;7290.04
3500;83138.41;52151;97552;8906.12
3600;87615.60;55199;109432;8723.51
3700;90206.32;56421;107248;8068.41
3800;94043.05;56361;116110;9130.08
3900;97066.93;61065;109988;7276.42
4000;98777.53;63615;117381;7605.32
4100;100412.16;62121;118813;10007.79
4200;104840.14;66720;122073;9639.76
4300;107661.63;70545;127358;8834.26
4400;112366.88;69879;136757;8912.35
4500;114278.03;73645;134455;8436.62
4600;116131.90;80145;132547;7646.64
4700;119822.79;103560;140299;7109.97
4800;123249.48;75862;144587;8780.33
4900;123551.40;76639;147311;10835.78
5000;128191.56;112597;148383;7854.62
5100;132593.96;118949;161663;8501.18
5200;132636.72;83386;152045;10526.75
5300;137954.94;84780;163022;13204.48
5400;138831.62;87120;166677;12991.71
5500;143270.94;86599;158991;12190.11
5600;144412.27;92398;173125;10913.61
5700;147120.59;96542;169586;11090.94
5800;153462.43;131005;175579;10119.14
5900;152797.44;95692;180653;14297.20
6000;156533.37;94571;185505;12536.25
6100;159053.17;96659;183856;11298.72
6200;162412.33;105857;199530;13210.68
6300;165595.50;102221;194047;14856.10
6400;168756.29;140289;197142;11541.45
6500;169742.78;107253;203226;14290.49
6600;174933.42;110639;201575;12417.13
6700;176541.75;121883;211257;12549.97
6800;181105.12;144604;210341;11549.04
6900;182596.96;115778;211104;16721.95
7000;184448.47;113940;209437;16242.03
7100;189738.88;166283;223145;12305.62
7200;193718.86;124360;220917;13038.51
7300;194001.65;123525;220288;16243.26
7400;197953.16;125652;241641;15882.49
7500;201325.13;172491;228510;12521.39
7600;204242.15;173775;247576;12613.11
7700;206666.53;171173;237837;14655.80
7800;211900.10;174740;237719;13206.89
7900;211717.61;185946;240148;11904.31
8000;214990.63;136139;254446;18821.39
8100;215804.88;188709;245578;12323.11
8200;219848.27;141392;253034;17032.99
8300;225634.91;144988;268332;17476.00
8400;227841.62;142987;266044;16175.34
8500;230208.79;149810;277525;18026.09
8600;235149.76;146726;279924;20124.29
8700;235673.73;143476;277444;20546.08
8800;239134.76;207887;291201;15346.16
8900;243988.98;158175;285346;17333.08
9000;244812.28;212244;282146;13761.50
9100;245501.40;206427;283029;13314.03
9200;251489.03;153630;285867;16487.01
9300;256663.59;152741;317600;18935.48
9400;258378.16;220165;301379;16161.59
9500;261818.03;229352;300526;15940.99
9600;262326.31;172297;304619;19478.42
9700;264610.21;173283;319345;19121.35
9800;264325.29;164525;308576;24152.10
9900;270115.95;169353;320128;22700.97
10000;278343.06;243124;330060;16765.85
