n;avg;min;max;standard_deviation
100;716.00;716;716;0.00
200;1642.00;1642;1642;0.00
300;2833.00;2833;2833;0.00
400;4255.00;4255;4255;0.00
500;5394.00;5394;5394;0.00
600;5998.22;5997;6119;12.14
700;7690.00;7690;7690;0.00
800;7957.50;7866;7988;52.83
900;10169.74;9210;10231;242.47
1000;10812.00;10812;10812;0.00
1100;12285.34;12121;12370;117.95
1200;13816.57;13095;14318;601.51
1300;14993.59;13951;15462;698.83
1400;15008.20;14528;15214;314.36
1500;17252.89;16847;17944;529.64
1600;18812.94;17898;19692;896.82
1700;20309.30;19638;21556;914.83
1800;21479.09;21152;22793;585.40
1900;20922.65;20558;21493;456.05
2000;23426.83;22787;23536;173.11
2100;24485.40;24053;25134;529.58
2200;24978.77;24582;26107;617.30
2300;26966.30;26779;28494;254.84
2400;28853.60;28385;29237;423.86
2500;30007.82;27080;30861;1145.29
2600;30109.74;29154;32486;1076.80
2700;32333.40;31332;32587;456.15
2800;32837.30;31922;33911;936.50
2900;34543.57;33503;35929;951.77
3000;36971.47;35284;38089;1220.11
3100;36547.13;36402;38527;225.80
3200;39413.29;36644;40456;1454.21
3300;41132.92;38138;44407;2687.43
3400;41127.30;37784;43454;2577.82
3500;40996.17;40232;41795;641.25
3600;44600.78;40691;47868;2747.88
3700;47728.52;46901;48222;492.32
3800;45754.57;41294;48955;2272.20
3900;48529.67;45458;50327;1506.49
4000;47740.10;46174;49819;1175.00
4100;49410.68;47366;53548;1703.87
4200;50559.40;48960;52027;1189.65
4300;54322.42;50460;56810;2822.23
4400;55312.83;53005;56789;1417.41
4500;54324.66;52087;58096;1894.09
4600;57593.86;56009;60007;1445.98
4700;59087.78;55204;61211;1788.51
4800;61391.05;60442;63899;1042.48
4900;61182.13;58123;63821;1942.29
5000;61661.15;59431;65802;2467.04
5100;63060.22;58976;68801;3502.90
5200;63438.47;61419;67150;1426.69
5300;68957.58;65372;75113;3110.36
5400;68221.55;65201;71686;2754.06
5500;67621.24;65357;69828;1523.65
5600;68941.46;66048;72202;2384.60
5700;72057.00;68862;74268;2289.37
5800;74560.56;72107;76290;1510.75
5900;75187.77;69068;81301;3822.31
6000;75547.84;73665;77430;1465.48
6100;75715.91;71789;79439;2939.50
6200;77346.29;75637;82182;2375.12
6300;82360.96;77571;85660;2653.99
6400;81855.44;77632;84269;2771.19
6500;82349.25;80186;85779;1751.55
6600;83278.50;82134;84813;948.32
6700;88766.85;79387;92989;4911.53
6800;86750.62;84681;89902;2108.02
6900;86590.01;82693;92968;2721.84
7000;88974.61;85716;91918;1867.79
7100;90478.49;86771;94754;2510.39
7200;91095.05;88215;94093;1611.27
7300;92953.91;88791;101552;4172.09
7400;93770.54;87371;98226;3989.24
7500;97780.64;91852;105014;4512.69
7600;97760.46;90019;101893;3645.33
7700;99384.20;95078;104632;3438.23
7800;101953.17;95395;106076;3987.79
7900;100710.92;94117;106271;4449.49
8000;102635.12;99179;106151;2627.18
8100;105686.38;100626;110288;3138.31
8200;105317.75;100703;110524;3292.98
8300;106366.55;101303;112125;3729.57
8400;107945.71;102589;111980;3189.30
8500;111234.13;105983;117128;3588.15
8600;109801.33;106913;118914;2480.40
8700;112432.22;107031;116779;3624.17
8800;114283.95;108228;120751;4178.58
8900;115535.86;111989;122235;2926.45
9000;117364.22;112766;125464;4318.56
9100;119116.92;113999;126907;3795.38
9200;120423.18;113428;125867;3853.63
9300;119838.78;116287;127567;3661.34
9400;125624.15;112934;131095;4353.11
9500;122028.27;116844;129630;3292.01
9600;127759.65;122219;131840;2847.59
9700;127447.08;122420;137774;4874.75
9800;127632.61;121955;133507;4088.18
9900;127924.56;122393;133742;3623.93
10000;130843.50;123764;138921;4696.92
