n;avg;min;max;standard_deviation
100;8;4;17;2.37
200;14;7;25;3.26
300;23;12;39;3.60
400;30;14;75;6.63
500;38;19;56;5.64
600;44;23;65;5.70
700;53;23;72;7.41
800;61;33;108;9.69
900;70;36;105;9.56
1000;77;36;121;9.85
1100;84;38;109;8.62
1200;91;47;126;11.59
1300;99;87;135;8.30
1400;107;55;142;10.42
1500;114;58;159;11.35
1600;122;100;171;9.59
1700;125;58;164;16.55
1800;136;67;180;15.50
1900;143;75;201;12.41
2000;146;72;181;16.56
2100;157;82;207;15.66
2200;164;86;207;17.08
2300;174;85;218;16.90
2400;180;159;229;11.39
2500;190;159;233;12.20
2600;193;96;262;19.70
2700;200;103;248;20.70
2800;208;104;262;23.15
2900;221;113;268;18.94
3000;226;107;277;23.89
3100;236;119;300;21.01
3200;240;110;304;26.99
3300;251;121;317;21.14
3400;255;128;332;26.66
3500;265;131;345;24.49
3600;268;137;311;22.72
3700;280;246;325;14.28
3800;285;142;359;27.59
3900;286;151;332;27.22
4000;296;129;412;31.42
4100;304;151;377;30.89
4200;313;160;349;25.55
4300;316;157;393;34.70
4400;329;159;409;30.43
4500;339;178;392;22.45
4600;346;313;404;16.64
4700;347;177;421;38.88
4800;358;177;407;31.11
4900;365;178;435;33.07
5000;371;198;472;26.89
5100;377;196;452;35.67
5200;388;182;497;40.60
5300;388;172;443;42.42
5400;402;231;468;24.84
5500;406;207;474;37.24
5600;419;215;510;29.37
5700;423;386;479;16.96
5800;432;216;507;35.76
5900;432;226;487;35.10
6000;438;214;519;47.96
6100;452;396;546;19.88
6200;455;232;537;49.86
6300;470;244;527;29.95
6400;489;442;603;26.83
6500;486;241;602;42.91
6600;491;246;563;32.53
6700;501;457;569;23.39
6800;497;248;578;47.27
6900;508;235;581;57.21
7000;525;281;658;36.80
7100;534;234;607;36.35
7200;544;270;682;37.89
7300;544;290;640;35.58
7400;553;285;648;47.50
7500;563;491;661;28.70
7600;559;279;661;56.38
7700;578;292;673;39.94
7800;575;283;675;57.32
7900;584;283;656;53.64
8000;588;309;691;37.26
8100;596;307;722;54.92
8200;608;311;685;38.44
8300;602;313;731;62.50
8400;620;303;695;40.74
8500;630;583;722;24.85
8600;633;314;718;40.68
8700;642;339;737;49.62
8800;650;599;757;25.04
8900;658;342;837;45.52
9000;667;608;747;28.60
9100;671;332;768;43.30
9200;671;331;774;53.31
9300;680;350;794;64.00
9400;704;649;827;30.70
9500;704;642;772;26.77
9600;716;361;821;67.00
9700;715;379;818;44.47
9800;723;384;810;44.17
9900;725;368;817;55.42
10000;741;655;804;28.74
