n;avg;min;max;standard_deviation
100;914.00;914;914;0.00
200;2307.00;2307;2307;0.00
300;3572.00;3572;3572;0.00
400;5096.00;5096;5096;0.00
500;5958.00;5958;5958;0.00
600;7522.42;7366;7524;15.72
700;8432.00;8432;8432;0.00
800;10381.00;10342;10394;22.52
900;11181.78;11106;12369;299.95
1000;12374.00;12374;12374;0.00
1100;13539.62;13151;14294;541.45
1200;14975.63;14548;15591;512.98
1300;17339.58;15834;18016;1009.16
1400;19318.40;17917;19919;917.43
1500;19817.28;19152;20208;509.84
1600;20406.16;19973;20857;441.91
1700;23554.50;23041;23831;376.81
1800;23721.43;23599;24380;268.26
1900;24664.08;24090;25562;717.97
2000;26218.59;26047;27635;262.94
2100;30976.80;28668;32516;1885.13
2200;29764.69;29501;30588;450.85
2300;31551.38;29784;34074;2104.58
2400;31159.00;31078;31258;89.55
2500;35213.65;34960;35375;195.70
2600;35008.89;33393;36317;1361.20
2700;38010.75;37352;38712;640.21
2800;37901.90;37466;38834;458.67
2900;37928.94;37375;42548;1227.06
3000;42575.09;41618;43375;710.73
3100;41465.14;39300;43798;1813.31
3200;42975.17;40287;44790;1689.18
3300;45751.15;43560;47660;1811.86
3400;46768.90;46231;47202;389.69
3500;48150.57;46274;50084;1577.71
3600;49573.34;47280;51698;1740.09
3700;50232.92;48021;53224;1941.42
3800;52677.62;51446;55230;1233.44
3900;54928.46;50633;58622;2908.58
4000;56072.98;52568;60439;3576.28
4100;58862.40;55267;62037;2244.08
4200;60420.01;56965;61814;1562.84
4300;61705.92;57762;64549;2667.51
4400;63506.30;59092;64302;992.10
4500;61870.29;58680;65931;2770.89
4600;65883.24;62562;72699;4081.74
4700;68075.88;64601;73504;3120.78
4800;66739.17;64980;67460;860.31
4900;70874.31;67634;73387;1694.73
5000;72320.55;67398;76733;4300.62
5100;72917.66;70847;76058;2124.56
5200;75261.73;70408;79582;3331.35
5300;74269.68;72039;75745;1519.25
5400;78195.06;74131;81482;2407.37
5500;80668.92;76409;84036;2963.14
5600;79256.79;76140;83042;3187.81
5700;80803.27;76100;83644;2680.74
5800;83010.07;79016;89095;3529.93
5900;85495.75;81085;89770;3095.05
6000;87037.59;84420;89832;1798.71
6100;88963.92;84474;93483;3055.46
6200;90862.81;86673;95712;3302.17
6300;91067.61;84566;95974;3644.68
6400;92358.80;89631;96300;2083.17
6500;92598.48;90409;96285;2071.92
6600;94241.10;90920;99129;3570.17
6700;96802.12;93567;98859;1932.19
6800;98183.34;95351;101385;2002.48
6900;98634.02;95206;101827;2888.88
7000;103486.80;97734;109651;4536.18
7100;102724.00;97205;106150;2540.95
7200;105098.02;101238;110265;3533.18
7300;104442.77;98123;111449;4132.07
7400;111385.84;103762;121114;5490.79
7500;108846.72;104875;113156;2478.77
7600;109909.08;104711;117957;3497.27
7700;114465.42;107625;123687;5131.13
7800;113091.56;108738;125924;6000.84
7900;116899.83;109648;124269;5093.68
8000;115656.68;111408;119147;2712.46
8100;120993.40;111404;127647;5089.48
8200;119166.10;112502;126255;4431.31
8300;119265.64;115429;125580;2711.16
8400;122916.44;117033;126250;2636.54
8500;125935.21;118148;130366;4032.07
8600;131417.17;125777;135648;3120.28
8700;128243.99;119162;139599;6958.11
8800;133851.56;124488;143110;6092.76
8900;131439.35;125531;138877;4727.90
9000;133983.33;129095;139563;3574.78
9100;138708.51;133165;143498;3224.07
9200;137105.43;133347;142863;2898.76
9300;136430.63;129342;146299;4659.73
9400;137628.24;129894;148005;5785.68
9500;139193.52;133057;149126;4815.73
9600;141554.33;134039;151669;6173.06
9700;143086.65;135995;153708;5651.78
9800;145540.62;137388;156101;6870.71
9900;150824.37;144250;158678;4449.95
10000;148326.32;139989;157858;5597.20
