n;avg;min;max;standard_deviation
100;8;7;16;1.45
200;15;14;31;1.87
300;22;21;39;3.22
400;29;27;46;3.48
500;36;34;53;2.71
600;43;41;59;3.67
700;54;52;78;3.76
800;61;57;85;3.97
900;69;64;101;6.40
1000;78;74;120;6.02
1100;81;75;118;6.14
1200;88;78;124;8.07
1300;100;94;146;7.18
1400;107;100;129;6.21
1500;112;105;148;7.37
1600;122;113;167;10.12
1700;127;120;171;8.10
1800;135;127;178;8.11
1900;144;136;170;6.48
2000;152;142;184;8.17
2100;160;147;228;13.90
2200;168;156;211;9.35
2300;174;162;214;9.79
2400;175;163;236;12.05
2500;189;178;246;13.04
2600;193;181;253;13.55
2700;205;194;240;8.88
2800;215;201;257;9.95
2900;222;204;258;11.35
3000;227;213;289;10.80
3100;232;218;275;10.75
3200;249;234;317;12.18
3300;254;232;320;15.43
3400;255;233;305;14.13
3500;264;244;293;9.21
3600;279;262;354;15.78
3700;283;264;350;14.04
3800;291;269;345;15.44
3900;299;274;373;17.31
4000;309;285;369;16.90
4100;311;290;367;15.48
4200;320;296;369;16.40
4300;332;313;382;14.87
4400;337;315;395;16.19
4500;339;316;401;15.21
4600;355;328;440;19.26
4700;357;327;411;15.22
4800;367;334;459;20.74
4900;372;343;434;18.33
5000;378;351;446;16.28
5100;387;360;448;17.07
5200;402;376;478;19.70
5300;403;370;489;18.68
5400;411;372;491;19.78
5500;413;382;466;17.33
5600;418;396;480;15.89
5700;431;403;513;17.11
5800;443;409;560;20.35
5900;450;412;514;20.14
6000;457;416;507;16.83
6100;464;426;529;17.50
6200;474;428;576;25.90
6300;478;443;535;21.14
6400;480;438;579;24.84
6500;494;446;590;23.20
6600;502;463;582;24.75
6700;506;474;582;19.60
6800;513;479;609;22.00
6900;527;481;619;24.76
7000;519;478;617;23.44
7100;545;507;763;30.09
7200;545;506;622;21.97
7300;549;507;641;23.97
7400;563;516;656;24.33
7500;559;521;682;27.15
7600;579;536;644;22.51
7700;583;548;699;23.95
7800;592;549;680;29.77
7900;597;565;650;17.62
8000;601;567;712;21.57
8100;608;566;690;26.03
8200;618;553;712;28.83
8300;623;587;728;24.30
8400;633;572;703;27.61
8500;633;583;704;24.25
8600;648;608;732;23.63
8700;646;612;704;21.62
8800;661;616;732;23.00
8900;678;639;741;20.57
9000;684;647;762;22.83
9100;687;630;763;24.27
9200;696;638;796;28.69
9300;702;648;772;27.75
9400;713;645;818;31.99
9500;713;655;863;32.74
9600;728;675;801;28.16
9700;741;684;863;29.42
9800;738;684;847;29.98
9900;748;695;831;27.16
10000;757;708;886;25.87
