n;avg;min;max;standard_deviation
100;1783.80;1218;2559;234.43
200;4324.94;3288;5493;444.77
300;6909.20;5412;9086;640.19
400;9883.43;7906;12544;944.06
500;13123.55;10510;17266;1266.76
600;16125.96;12376;19608;1504.24
700;19105.14;14788;23311;1737.68
800;22269.10;18483;28459;1979.55
900;25519.17;21019;30702;2169.61
1000;28883.74;23835;34530;2497.07
1100;32625.64;26661;40509;2778.96
1200;35740.54;27582;45943;3401.59
1300;39280.41;30365;48061;3600.10
1400;42745.69;35415;56334;3608.96
1500;45938.27;39607;55852;3617.78
1600;48682.62;37956;61275;4184.51
1700;54126.79;43792;64546;4405.36
1800;56976.88;45663;69297;4658.99
1900;59162.48;49889;68764;4427.58
2000;63311.30;53515;74457;4772.04
2100;67422.22;54880;79428;5139.19
2200;70671.09;60128;86532;5501.69
2300;74365.06;62990;89000;5744.88
2400;78215.56;60455;94654;6659.12
2500;81002.31;64579;94538;6272.85
2600;86470.67;73766;107617;6280.77
2700;88656.37;73429;105777;6998.62
2800;93108.66;79902;115056;7485.63
2900;95920.22;74547;113537;8665.34
3000;98948.96;81947;126169;8653.51
3100;104420.90;86156;125529;8398.42
3200;106691.76;91305;132424;8264.65
3300;111541.50;94353;137686;8341.34
3400;114923.58;93534;140025;8746.63
3500;121238.78;101207;148077;9036.10
3600;124145.36;98312;153988;10839.47
3700;126397.56;100288;158967;10458.48
3800;131425.22;106425;161101;10616.79
3900;132553.96;106200;155460;9627.77
4000;138830.88;111635;169442;11207.69
4100;142971.28;113803;170402;11318.27
4200;147224.50;126319;175024;11565.09
4300;151463.90;128922;192766;11961.21
4400;155394.02;130114;194486;13400.76
4500;158677.45;132554;206429;14172.68
4600;162698.69;130376;202958;13735.67
4700;168067.80;136691;210913;13655.08
4800;169893.31;137915;204281;14218.45
4900;173045.14;140809;206516;14316.97
5000;178154.15;143278;212729;14935.67
5100;181549.84;135345;236434;16149.90
5200;186254.89;156393;219158;13683.22
5300;190862.11;160879;229162;15753.84
5400;196264.21;157371;253183;17581.41
5500;198892.63;167800;237621;14956.62
5600;202275.45;160031;265046;15832.26
5700;204972.74;176737;248968;15791.58
5800;210386.66;174877;244541;15216.98
5900;214787.96;167577;258406;16617.65
6000;218006.40;171785;260954;18113.09
6100;223535.10;182319;266668;15680.68
6200;225429.48;188542;270759;16848.47
6300;232351.75;192216;278400;18545.99
6400;234966.01;195905;289360;18279.91
6500;238301.30;192772;284309;17168.39
6600;246239.30;207395;307945;18684.87
6700;247564.39;207215;288369;18212.95
6800;254751.42;218546;309093;21413.72
6900;251991.49;195191;297277;20166.33
7000;260059.08;214655;326953;20408.91
7100;265469.24;221108;326156;23085.12
7200;268698.23;220736;325151;19061.33
7300;269855.07;214051;350251;20543.23
7400;273506.58;212204;341897;22514.83
7500;281717.24;230159;335033;22615.08
7600;287318.33;233965;339756;21637.14
7700;285785.43;239149;338826;21735.76
7800;289546.18;238652;365304;25667.24
7900;294950.31;245402;354628;24142.61
8000;300158.24;252048;371729;22202.15
8100;306887.93;248467;392652;28889.52
8200;306568.57;259711;382128;27048.51
8300;312550.87;245073;369110;23802.03
8400;314676.90;255389;410589;25007.93
8500;322751.60;274589;394356;25466.79
8600;327480.08;263685;429012;27607.43
8700;329265.80;267331;405039;25102.86
8800;333061.02;270342;412245;28521.14
8900;339675.41;291609;428369;25172.41
9000;341076.45;293263;432185;22430.48
9100;346943.45;285191;411399;24678.86
9200;352274.86;292113;421624;26576.29
9300;359625.12;299582;430890;29552.46
9400;361501.27;303916;433482;25804.76
9500;367091.59;291232;432491;25716.20
9600;364917.07;307071;451587;25735.53
9700;375401.53;319163;437214;25897.24
9800;378034.80;305517;448781;28062.26
9900;382445.34;306393;480965;31120.95
10000;381426.15;321060;461936;27992.78
