n;avg;min;max;standard_deviation
100;453.00;453;453;0.00
200;1029.00;1029;1029;0.00
300;1694.00;1694;1694;0.00
400;2299.00;2299;2299;0.00
500;2839.00;2839;2839;0.00
600;3718.78;3400;3722;32.04
700;4535.00;4535;4535;0.00
800;5533.75;5077;5686;263.70
900;5882.64;5830;5886;13.30
1000;6317.00;6317;6317;0.00
1100;7335.08;6782;7620;396.97
1200;7428.56;7012;8028;499.70
1300;8674.54;8633;8767;61.97
1400;9540.10;9127;10504;631.02
1500;10807.34;10292;11110;394.93
1600;10502.12;10088;10900;405.92
1700;11419.55;11121;11974;406.86
1800;12341.54;12162;13070;322.15
1900;13173.32;13105;13217;54.63
2000;14567.94;13367;14641;212.52
2100;15192.00;15038;15423;188.61
2200;15229.84;14469;15563;448.57
2300;16040.42;15029;17473;1197.84
2400;17462.55;17418;17499;40.30
2500;18195.86;18113;18348;72.84
2600;18612.91;18229;19323;356.20
2700;21198.78;20561;21722;508.68
2800;20004.62;19199;23172;1225.82
2900;21376.37;20687;22500;653.64
3000;22744.16;22298;23295;434.57
3100;23014.94;22835;25266;284.63
3200;23417.06;21353;24867;1325.95
3300;24698.01;23724;25530;730.39
3400;26025.03;25633;26376;305.67
3500;26999.65;24468;27486;696.27
3600;26768.22;25134;28286;1321.62
3700;29264.96;28302;30524;947.97
3800;29474.02;28659;30918;1016.12
3900;29795.91;28815;30637;763.66
4000;31341.68;30075;32387;980.65
4100;31719.34;30498;33110;1032.74
4200;32264.19;31275;34519;1071.64
4300;33871.12;31534;35333;1243.81
4400;34197.73;32911;35252;802.68
4500;34822.44;32774;36817;1132.18
4600;35681.70;33719;36628;1192.05
4700;37077.62;34162;39558;2049.50
4800;37943.70;36592;40968;1452.54
4900;39335.90;37196;41955;1873.03
5000;40419.58;37508;43329;1866.10
5100;40304.96;38206;41210;1191.19
5200;41235.68;39756;41896;454.36
5300;41801.06;39680;43077;1222.28
5400;43152.10;41252;44858;1220.27
5500;43960.98;40747;48022;2488.92
5600;44100.10;42526;46148;1199.83
5700;44534.45;42382;47255;1609.00
5800;46348.99;44923;47121;896.92
5900;46765.31;43478;49221;2012.78
6000;47846.10;46325;49102;966.76
6100;49825.42;47821;50944;1213.66
6200;49867.26;48407;51983;1212.92
6300;49378.23;47208;51463;1562.22
6400;52089.06;50003;54077;1390.01
6500;51942.73;49803;52737;1070.12
6600;53139.90;51804;54094;742.18
6700;54964.62;52902;57022;1613.53
6800;55618.27;53799;59248;1867.62
6900;56418.67;53052;58763;2295.87
7000;57249.04;56228;60476;951.77
7100;58361.36;54057;61762;2772.00
7200;59437.16;54100;61827;2446.39
7300;58981.71;56171;61547;1347.97
7400;60465.92;57993;63510;1840.55
7500;63036.70;59403;66507;2396.90
7600;64417.78;60067;67075;2004.02
7700;63749.15;62122;65107;897.31
7800;63740.50;61832;65554;1174.00
7900;65122.82;63054;68782;1772.05
8000;67045.32;63644;69885;1859.09
8100;66917.17;63361;69473;1875.58
8200;67698.35;63342;69922;2109.36
8300;68686.18;66039;71494;1735.31
8400;70681.17;68030;75660;2179.62
8500;70489.85;68299;71302;1101.50
8600;71514.41;69078;75235;1920.03
8700;71670.45;69153;75507;1880.72
8800;74939.67;73078;76481;1056.17
8900;76565.19;72960;81837;3052.66
9000;74910.07;68799;78848;2829.86
9100;76399.33;73205;78597;1727.47
9200;78051.55;75611;80765;1828.78
9300;79029.03;76963;80875;1403.22
9400;80891.32;78232;83806;1813.37
9500;79929.22;77055;82399;1948.33
9600;80936.37;78877;85330;1767.30
9700;82467.56;77936;87435;2511.54
9800;82507.04;77862;86323;2564.97
9900;83606.16;79961;86587;2097.54
10000;85590.44;81590;94725;3839.84
