n;avg;min;max;standard_deviation
100;8;4;17;2.32
200;15;12;23;1.39
300;24;21;41;3.04
400;31;28;47;3.38
500;39;33;58;4.21
600;47;43;82;5.68
700;56;50;90;5.71
800;63;58;86;4.29
900;72;63;87;4.10
1000;81;73;118;7.33
1100;89;80;122;7.36
1200;95;88;129;6.75
1300;102;94;132;7.18
1400;112;103;153;7.96
1500;117;107;151;7.33
1600;126;116;193;10.20
1700;134;121;181;9.95
1800;142;130;199;9.55
1900;149;136;179;8.68
2000;159;143;227;12.71
2100;165;148;214;10.67
2200;176;162;238;12.48
2300;187;166;227;13.88
2400;189;175;226;9.82
2500;202;183;253;16.61
2600;206;190;253;12.51
2700;213;198;270;11.80
2800;226;206;277;11.77
2900;235;217;269;10.34
3000;244;225;282;12.03
3100;251;230;341;15.15
3200;259;243;305;12.01
3300;266;235;318;13.94
3400;274;251;327;14.36
3500;284;264;342;14.42
3600;291;267;332;14.40
3700;298;277;410;19.53
3800;308;280;388;16.50
3900;314;289;378;15.28
4000;322;299;370;13.83
4100;326;301;364;12.76
4200;339;314;378;14.90
4300;345;318;420;16.67
4400;351;323;417;15.80
4500;364;332;437;18.85
4600;370;342;419;16.46
4700;378;345;447;17.93
4800;386;351;456;16.99
4900;395;363;499;20.19
5000;404;374;469;15.62
5100;412;387;489;18.52
5200;422;387;522;19.01
5300;426;395;474;18.49
5400;432;401;519;20.78
5500;443;413;503;19.90
5600;452;417;519;19.50
5700;460;429;521;17.79
5800;468;427;535;21.87
5900;469;439;536;19.38
6000;482;447;562;21.62
6100;488;451;548;18.97
6200;499;467;559;19.44
6300;507;464;589;22.90
6400;524;470;614;22.84
6500;522;484;585;19.54
6600;550;510;644;25.48
6700;540;495;623;23.99
6800;553;510;632;25.07
6900;556;507;669;26.26
7000;564;508;669;25.39
7100;579;537;643;25.28
7200;588;540;703;26.23
7300;594;548;703;28.85
7400;601;543;744;28.71
7500;607;568;729;22.50
7600;619;567;726;27.96
7700;622;581;696;20.09
7800;629;583;712;23.09
7900;636;593;694;21.30
8000;641;589;722;26.25
8100;655;609;745;27.77
8200;660;608;785;24.21
8300;674;613;798;31.17
8400;679;630;812;27.24
8500;685;636;775;29.13
8600;691;633;793;25.76
8700;702;656;834;28.18
8800;708;661;806;27.52
8900;714;661;807;27.23
9000;723;671;822;30.67
9100;730;681;815;24.88
9200;740;682;837;28.93
9300;747;696;833;27.67
9400;754;712;837;24.36
9500;761;705;837;24.70
9600;780;716;898;32.13
9700;777;725;874;29.09
9800;789;729;886;30.59
9900;802;743;890;29.96
10000;805;753;905;25.73
