n;avg;min;max;standard_deviation
100;8;4;17;1.87
200;15;7;26;2.65
300;22;11;31;2.92
400;29;16;45;3.67
500;36;18;62;6.27
600;44;20;77;8.39
700;52;27;79;7.50
800;59;31;80;8.78
900;68;35;94;5.64
1000;74;38;107;9.91
1100;83;38;122;10.96
1200;90;45;125;9.71
1300;95;51;124;8.34
1400;105;53;149;10.37
1500;108;50;151;12.00
1600;113;58;160;14.44
1700;123;63;160;13.22
1800;134;120;191;12.42
1900;136;71;194;15.36
2000;146;75;190;16.31
2100;154;77;203;13.01
2200;161;82;207;14.02
2300;169;84;215;19.43
2400;175;90;224;17.21
2500;185;82;233;17.64
2600;189;99;224;14.23
2700;196;100;246;14.76
2800;207;106;256;20.71
2900;210;104;273;26.01
3000;221;108;275;23.54
3100;230;117;272;24.94
3200;237;124;278;19.97
3300;245;211;311;14.99
3400;252;128;298;18.12
3500;263;235;364;19.63
3600;260;132;316;25.55
3700;274;137;356;28.57
3800;276;139;332;29.53
3900;281;149;347;26.63
4000;293;151;343;24.55
4100;298;153;363;31.33
4200;305;157;358;28.11
4300;314;159;371;21.79
4400;319;166;366;21.66
4500;330;180;397;22.51
4600;337;166;410;25.85
4700;342;173;393;30.96
4800;349;186;400;22.79
4900;356;191;437;24.81
5000;364;324;452;18.96
5100;370;192;438;30.13
5200;378;195;438;32.29
5300;380;193;453;32.54
5400;396;352;465;20.04
5500;394;202;473;36.04
5600;410;205;476;28.60
5700;411;208;470;26.88
5800;411;210;462;38.57
5900;430;213;517;30.72
6000;432;226;502;27.86
6100;436;217;496;40.53
6200;451;407;501;18.07
6300;456;242;546;29.43
6400;471;246;576;30.59
6500;464;232;570;57.90
6600;481;429;568;25.21
6700;484;266;572;41.40
6800;496;462;630;25.22
6900;497;261;567;45.63
7000;506;252;611;42.59
7100;517;272;615;47.58
7200;525;263;608;49.17
7300;538;271;645;53.35
7400;539;279;647;41.22
7500;547;304;674;36.57
7600;560;496;661;26.52
7700;564;287;664;44.79
7800;568;296;638;34.07
7900;573;313;665;35.32
8000;582;314;663;34.94
8100;589;541;696;24.27
8200;587;305;671;52.30
8300;601;299;704;49.54
8400;604;299;736;48.38
8500;616;316;730;52.06
8600;618;319;684;50.25
8700;632;583;729;28.86
8800;632;335;711;37.57
8900;650;590;768;29.44
9000;648;601;743;25.17
9100;665;591;735;31.35
9200;658;337;778;52.20
9300;677;611;763;27.78
9400;672;328;769;61.84
9500;681;362;780;50.39
9600;694;353;783;44.79
9700;705;655;778;23.95
9800;710;656;794;25.41
9900;705;356;797;63.88
10000;725;394;804;41.14
