n;avg;min;max;standard_deviation
100;8;7;17;1.96
200;16;13;25;1.58
300;23;21;33;1.97
400;31;29;40;1.94
500;40;35;73;4.75
600;47;42;72;4.81
700;55;50;78;5.31
800;63;56;80;3.87
900;71;65;100;4.87
1000;79;72;101;4.54
1100;86;80;110;4.94
1200;94;86;125;6.82
1300;101;91;131;6.98
1400;112;96;142;8.65
1500;114;102;149;7.22
1600;123;112;156;7.56
1700;131;118;162;8.80
1800;137;127;170;6.75
1900;146;134;182;8.73
2000;154;140;201;11.48
2100;160;145;198;9.20
2200;172;155;230;14.61
2300;180;167;225;13.25
2400;185;165;227;11.34
2500;195;171;238;14.42
2600;198;181;248;12.13
2700;207;192;247;10.79
2800;219;199;270;13.05
2900;228;210;297;15.38
3000;235;212;280;12.78
3100;244;219;295;13.41
3200;251;231;304;14.06
3300;259;235;318;15.40
3400;265;240;328;16.53
3500;275;252;330;16.30
3600;279;258;351;14.94
3700;287;259;341;15.10
3800;293;269;356;15.44
3900;301;279;348;13.99
4000;306;277;356;14.89
4100;317;290;396;16.89
4200;325;294;375;17.12
4300;332;299;454;20.58
4400;339;311;407;15.43
4500;353;325;417;18.89
4600;360;331;428;20.18
4700;364;328;454;21.59
4800;374;343;441;19.87
4900;378;344;453;17.43
5000;390;351;454;20.43
5100;395;360;475;20.33
5200;415;384;497;21.60
5300;412;382;479;18.43
5400;420;382;496;20.62
5500;425;388;476;17.83
5600;434;393;500;19.98
5700;442;407;516;20.63
5800;442;400;485;16.96
5900;451;421;526;19.14
6000;459;418;528;20.75
6100;467;430;527;19.94
6200;477;439;536;19.78
6300;483;444;611;26.74
6400;501;456;578;20.84
6500;509;468;612;29.45
6600;511;466;618;30.71
6700;514;463;586;22.20
6800;525;485;589;22.62
6900;537;490;651;29.73
7000;541;493;649;26.54
7100;553;500;631;23.91
7200;559;516;644;25.04
7300;568;509;690;28.86
7400;579;522;648;26.78
7500;580;535;682;28.62
7600;589;539;689;28.25
7700;600;559;687;24.66
7800;605;549;700;27.53
7900;616;565;678;23.16
8000;614;571;695;24.10
8100;628;564;773;33.97
8200;633;583;708;28.31
8300;638;582;736;28.61
8400;650;572;792;35.16
8500;651;612;717;25.42
8600;654;602;793;26.87
8700;668;610;771;29.43
8800;680;611;768;30.88
8900;687;632;783;26.01
9000;690;636;765;27.24
9100;702;636;875;32.15
9200;704;634;828;33.55
9300;719;649;841;29.67
9400;722;665;799;27.87
9500;734;674;810;26.51
9600;747;668;865;34.04
9700;738;677;811;27.61
9800;754;711;881;29.16
9900;757;706;835;30.08
10000;772;708;878;30.70
