n;avg;min;max;standard_deviation
100;431.00;431;431;0.00
200;961.00;961;961;0.00
300;1468.00;1468;1468;0.00
400;2406.00;2406;2406;0.00
500;3039.00;3039;3039;0.00
600;3750.93;3447;3754;30.55
700;4531.00;4531;4531;0.00
800;4991.50;4906;5020;49.36
900;5426.58;5279;5436;37.29
1000;6227.00;6227;6227;0.00
1100;6384.46;5749;7618;885.36
1200;7697.95;7518;7823;150.01
1300;8214.96;7993;8709;331.15
1400;9237.80;9059;9655;273.12
1500;10263.12;10059;10383;156.43
1600;10625.40;10498;10758;129.97
1700;11034.85;10717;11206;233.24
1800;11953.84;11838;12536;225.99
1900;13045.81;12667;13288;302.89
2000;13863.40;13281;14131;387.86
2100;14686.80;14676;14703;13.23
2200;15005.58;14492;15166;250.36
2300;15974.17;14644;16912;1111.65
2400;16108.10;15348;16730;687.54
2500;18022.59;17255;18589;459.24
2600;18194.07;17746;18669;457.21
2700;19290.55;18117;19838;582.37
2800;20811.72;20038;21901;689.81
2900;20631.14;20270;22325;565.43
3000;21729.67;21400;21951;204.09
3100;21964.70;21299;22227;323.57
3200;23326.90;23044;23434;148.52
3300;24043.49;23015;24910;733.68
3400;24636.52;24131;25323;532.52
3500;25394.61;24484;25952;482.69
3600;25493.31;25332;25806;175.40
3700;28668.84;26811;30370;1318.86
3800;27983.40;27376;28613;486.45
3900;29751.89;28939;30654;679.91
4000;30058.93;27929;31736;1454.50
4100;30618.36;26432;32068;1459.84
4200;31232.63;31179;31329;47.51
4300;31395.49;31172;31806;266.70
4400;32538.68;29072;35475;2450.80
4500;33279.72;32888;34098;388.87
4600;34055.05;32762;34822;809.14
4700;36198.20;35837;37283;277.82
4800;36875.29;36073;37717;556.97
4900;37237.97;36491;37980;563.88
5000;39818.30;38185;41448;1337.89
5100;39533.08;38227;40597;964.39
5200;39768.83;38029;41373;1205.92
5300;40371.04;38423;42081;1096.00
5400;42329.01;41701;43126;490.87
5500;43051.95;41561;44728;1163.63
5600;42757.27;41471;44786;1274.01
5700;43351.10;42758;44157;543.77
5800;43648.76;42799;46385;903.73
5900;45888.23;44709;47882;1036.51
6000;45801.06;43846;47969;1165.45
6100;48641.93;47641;50191;927.69
6200;47715.46;43635;49646;2125.36
6300;49247.06;41576;51697;2130.87
6400;50009.43;47914;53739;1868.24
6500;51284.05;49703;55335;1503.11
6600;52336.78;50895;54214;1182.42
6700;53095.72;51860;53952;664.98
6800;54433.40;45805;58471;3954.73
6900;54111.79;52611;57150;1508.16
7000;55134.94;50791;57540;2210.29
7100;56914.96;55015;59265;1462.00
7200;56630.62;48482;59586;3650.62
7300;56218.61;54957;58909;923.29
7400;58531.20;47506;60440;3027.23
7500;58926.12;57088;60356;1084.03
7600;61032.69;58847;65221;1945.36
7700;61538.20;59863;62724;915.45
7800;62765.73;60995;64928;1408.85
7900;64177.09;62620;65929;1203.50
8000;63837.23;61702;65886;1266.04
8100;64646.79;63641;66308;794.39
8200;65805.22;63564;68621;1447.06
8300;66423.46;64740;69327;1562.67
8400;67048.90;64456;69526;1635.71
8500;68302.89;66459;69746;1261.60
8600;70171.51;67565;73970;2171.20
8700;70096.12;68004;73179;1678.51
8800;70645.00;68926;72999;1398.64
8900;74125.58;71295;79319;2351.52
9000;73145.25;71160;75757;1415.95
9100;73975.76;71223;78575;2198.01
9200;75726.54;71772;79652;2310.79
9300;75424.60;72869;80134;2376.67
9400;76773.94;74846;78191;1362.17
9500;77342.75;73704;80004;1788.45
9600;77867.77;74437;83790;3043.57
9700;80634.10;77358;85043;2545.59
9800;80026.66;76488;84376;1839.92
9900;82005.26;79725;84181;1391.77
10000;81231.46;70779;90944;5121.07
