n;avg;min;max;standard_deviation
100;943.00;943;943;0.00
200;1804.00;1804;1804;0.00
300;3096.00;3096;3096;0.00
400;4363.00;4363;4363;0.00
500;5181.00;5181;5181;0.00
600;6521.37;4776;6539;175.42
700;8021.00;8021;8021;0.00
800;8811.75;8784;8821;16.02
900;10996.90;9930;11065;269.55
1000;12224.00;12224;12224;0.00
1100;13086.80;12869;13199;156.32
1200;13900.48;13520;14448;456.42
1300;15552.38;15305;16103;369.07
1400;16539.50;16403;16598;89.36
1500;18625.29;18619;18636;8.21
1600;19983.78;19842;20120;138.97
1700;20167.55;19995;20488;235.15
1800;21660.87;20727;23844;813.83
1900;23336.66;22832;24126;631.15
2000;24570.03;23260;25083;387.33
2100;26083.80;25101;26739;802.45
2200;27693.44;26861;28054;467.58
2300;30351.14;29596;30722;313.20
2400;28878.15;28335;29542;600.47
2500;31513.38;30306;31835;455.28
2600;33846.52;32052;34722;983.07
2700;34960.41;33447;36379;1366.79
2800;35862.88;33872;36436;792.58
2900;37407.14;35538;39187;1752.36
3000;38072.12;36489;38681;875.58
3100;39872.23;39168;40060;321.11
3200;39897.51;39080;42211;1205.96
3300;42195.51;41353;42785;675.46
3400;44120.72;42037;46024;1653.55
3500;44154.46;43516;45398;742.20
3600;46989.70;43657;48491;1634.93
3700;44148.78;34952;49041;4468.04
3800;50163.07;46695;52903;2695.41
3900;50792.26;47436;52749;1933.06
4000;52399.74;49184;54800;2299.78
4100;52180.18;51177;54126;645.10
4200;51383.67;40302;55864;6590.61
4300;55569.33;53236;58023;1609.06
4400;58036.33;54806;61773;2710.50
4500;58719.79;57488;63731;1168.15
4600;61271.84;60160;62502;877.28
4700;63114.36;60301;64948;1741.65
4800;63605.65;61420;65973;1725.51
4900;66686.75;63147;70943;2905.02
5000;64774.08;62800;66631;1355.75
5100;67399.16;65316;70481;2083.79
5200;64774.96;54577;70210;5938.16
5300;70900.93;69460;73205;1129.96
5400;72376.83;69055;74162;2026.94
5500;72765.87;70182;75375;1915.15
5600;74287.25;70236;76409;2239.50
5700;74654.98;72689;79324;2313.38
5800;77936.52;75888;80099;1405.97
5900;79186.55;77966;82664;1431.71
6000;78483.56;76843;80070;1213.27
6100;81234.37;77413;84863;2176.30
6200;79579.15;62527;86803;8746.48
6300;85405.35;81248;89634;2719.10
6400;85436.18;82428;86696;1581.75
6500;88108.42;85295;90251;1625.17
6600;90682.26;86198;93840;2284.82
6700;90058.87;85093;93839;2647.43
6800;93743.90;89859;100080;3545.32
6900;93068.99;87576;98057;3382.04
7000;95808.93;89090;100606;3480.62
7100;99952.41;92305;104813;3488.33
7200;96330.98;76725;102506;8868.14
7300;99663.46;97251;101889;1562.93
7400;101652.50;97098;109100;3731.74
7500;103366.70;99692;109398;3035.54
7600;104030.57;99462;109676;3422.84
7700;103634.38;100411;109545;2913.61
7800;105877.09;101159;111630;3111.47
7900;108371.12;103121;116284;3749.94
8000;108990.61;106147;112819;2198.62
8100;111167.66;107088;114860;2557.83
8200;111708.60;106895;116726;2751.88
8300;114970.20;110120;119173;3286.16
8400;115295.57;111397;120142;3028.22
8500;116533.47;112962;122770;3082.83
8600;120334.74;116009;122984;2556.95
8700;111429.03;85939;131871;15215.21
8800;121057.96;116775;124593;2717.31
8900;123465.40;118082;130703;3805.57
9000;125335.03;119989;128547;2804.40
9100;126464.91;120603;136408;3535.90
9200;127052.08;123489;132772;3315.39
9300;130533.00;122213;136093;4339.51
9400;130647.20;126070;137420;2965.56
9500;128545.51;96042;137287;12242.76
9600;132954.90;128713;137588;2911.03
9700;134084.35;127052;140839;4543.03
9800;138337.79;135604;146241;3355.34
9900;138201.39;133150;145122;4159.14
10000;140527.29;133561;145943;5075.05
