n;avg;min;max;standard_deviation
100;943.00;943;943;0.00
200;1593.00;1593;1593;0.00
300;2780.00;2780;2780;0.00
400;4084.00;4084;4084;0.00
500;5317.00;5317;5317;0.00
600;6323.19;6320;6639;31.74
700;8072.00;8072;8072;0.00
800;9029.75;8801;9106;132.07
900;10432.78;9928;10465;127.53
1000;11330.00;11330;11330;0.00
1100;12929.84;12904;12980;36.00
1200;14173.39;14141;14220;38.85
1300;15544.66;15466;15580;52.72
1400;16107.80;15812;16798;451.84
1500;17712.03;17446;18165;347.14
1600;19908.59;19547;20256;354.43
1700;21203.50;21015;21305;138.32
1800;21702.42;21508;22522;352.66
1900;23026.42;22762;23440;330.69
2000;24761.81;24242;24785;92.01
2100;25576.80;25539;25602;30.86
2200;27228.87;26566;27443;363.19
2300;28144.81;27896;29448;308.10
2400;29841.40;29530;30222;344.27
2500;31326.63;31243;31861;180.24
2600;31920.04;31324;33295;635.92
2700;33200.34;32801;33775;340.06
2800;35306.52;35055;35585;248.37
2900;36713.48;35197;38046;1383.23
3000;37340.91;37235;37645;166.61
3100;39657.43;38745;40649;433.82
3200;40789.24;40364;41320;427.17
3300;41906.08;41250;42549;578.39
3400;44179.71;42591;46063;1396.50
3500;46445.09;44010;47248;975.72
3600;47181.64;46142;48482;967.29
3700;47312.12;46292;49927;1201.37
3800;50013.91;48426;51912;1217.75
3900;51277.72;49860;52682;1048.57
4000;50341.64;48987;51633;1043.17
4100;54522.83;52271;57713;2105.85
4200;54634.12;53335;56718;1421.54
4300;55610.81;55049;56213;480.38
4400;58639.49;57366;60530;1257.91
4500;59273.02;57992;61121;839.06
4600;61721.56;60707;63523;1139.82
4700;63668.92;63300;64274;389.15
4800;62985.66;61828;63641;691.27
4900;64433.39;63189;67358;1440.96
5000;65947.33;64636;69251;1915.82
5100;69116.10;67377;73084;2274.79
5200;68313.56;66732;69862;1261.03
5300;71187.46;69861;73131;1174.22
5400;71147.52;70604;71751;417.43
5500;73509.92;71174;75405;1224.69
5600;75122.51;74038;79157;1509.62
5700;76338.69;74467;78527;1321.10
5800;77791.54;75055;83825;2072.04
5900;79229.32;77787;80239;779.82
6000;80785.94;77353;83212;1590.97
6100;82352.39;80681;86575;2166.61
6200;84748.63;81654;86726;1744.33
6300;85147.99;82474;88991;2094.07
6400;86267.42;83270;88319;1608.61
6500;88707.72;86347;90700;1485.90
6600;89035.34;87040;92131;1651.57
6700;90099.85;89141;92444;819.42
6800;92615.75;90644;95894;1717.91
6900;93454.74;91159;95037;1460.46
7000;94462.88;92733;96008;998.74
7100;96115.60;92970;98167;1862.05
7200;97311.39;96300;98398;665.28
7300;98193.36;95965;103427;1945.77
7400;101052.16;97451;107273;2891.35
7500;103519.13;101510;105290;1470.37
7600;105986.63;100757;110893;3260.91
7700;104216.42;102055;107378;2011.82
7800;107085.56;102495;109597;2113.77
7900;108760.37;103866;110624;1159.81
8000;107951.22;105198;111579;2008.06
8100;109124.59;107594;114113;1387.86
8200;113542.06;111291;115782;1334.11
8300;114859.66;112249;118046;1867.69
8400;113497.49;110028;116837;2409.20
8500;116655.97;114204;120266;2132.88
8600;119484.86;115462;123231;2435.64
8700;121310.31;116001;126909;3103.06
8800;123226.07;119151;128298;2978.11
8900;125053.40;120902;130491;2621.19
9000;124879.97;122908;129881;2368.54
9100;127382.56;124607;131822;2168.86
9200;128578.02;122955;135309;3668.68
9300;129424.13;125768;132116;2313.02
9400;130855.83;128582;135015;1907.61
9500;133040.97;131051;135613;1708.62
9600;134211.88;130341;139005;2592.01
9700;135055.66;131459;141079;2818.11
9800;137053.21;131039;142324;3212.12
9900;138495.28;134981;144341;2589.99
10000;139727.03;135191;145948;2836.29
