n;avg;min;max;standard_deviation
100;1403.74;779;1878;221.02
200;3070.26;1857;4037;461.41
300;5104.12;3065;6737;727.31
400;7163.32;4596;9019;765.68
500;9337.67;5794;12167;973.62
600;11500.82;7551;13420;948.53
700;13900.16;8527;16838;1405.93
800;16058.65;10099;19668;1383.24
900;18810.74;12379;21618;1495.32
1000;20897.21;12880;24665;2089.28
1100;23365.34;15350;27040;1951.77
1200;25515.49;15613;30903;2661.64
1300;28088.72;17199;33948;2526.09
1400;30415.65;18941;37727;2724.43
1500;32909.97;18949;40475;3353.56
1600;35547.16;22611;43765;3288.48
1700;37902.91;23127;45245;3034.27
1800;40508.36;26597;46316;3423.18
1900;43757.24;26893;51516;4216.56
2000;46345.19;27836;56118;3801.61
2100;48165.69;31090;58773;4021.38
2200;50579.10;32201;59466;4525.86
2300;53771.46;33149;64777;4438.74
2400;56750.51;50198;66778;3387.96
2500;58851.91;35037;70348;4202.68
2600;61607.70;51394;70888;3970.63
2700;64516.29;57142;74844;3724.88
2800;67051.12;56418;77425;4323.71
2900;69661.66;44345;79793;5313.59
3000;71354.98;43513;84213;5919.32
3100;74992.36;47875;86616;6439.72
3200;77919.24;48443;89842;5106.08
3300;81182.54;53358;99578;5758.53
3400;82871.33;49898;102914;8536.56
3500;85554.46;54589;101556;6479.68
3600;89235.48;54269;103903;6767.33
3700;91132.65;57402;109926;8483.78
3800;95257.82;56030;108881;6853.64
3900;96815.80;57723;114232;6922.42
4000;99026.40;64004;112218;7779.80
4100;101923.03;64832;120087;8137.72
4200;105634.83;69063;124640;8193.21
4300;108917.63;77603;132602;8050.81
4400;111491.17;75104;133810;7910.02
4500;113929.47;72063;130463;8056.22
4600;116758.57;71259;134308;9317.11
4700;117910.77;76753;138611;9979.42
4800;123390.02;78018;143804;9998.45
4900;126031.50;81362;150755;8740.72
5000;128164.00;88378;154242;9230.88
5100;130705.31;81549;152317;10323.11
5200;133011.36;79412;150752;10436.74
5300;135361.77;87717;156789;10012.21
5400;138668.74;85476;170180;10714.10
5500;143253.48;124205;165179;8140.53
5600;146734.07;93827;172668;11127.78
5700;147259.43;94072;171432;13006.37
5800;150625.84;92367;173127;10573.96
5900;153352.41;95991;181707;14517.43
6000;155998.08;92189;178505;12690.23
6100;160073.91;109604;187921;9647.95
6200;164486.62;102650;189642;11136.29
6300;165913.69;107192;191272;11162.86
6400;170135.93;107885;193772;12170.53
6500;172046.94;106055;200103;11473.41
6600;175147.92;147576;202428;9931.66
6700;179409.97;156802;212386;11350.88
6800;179933.90;111071;205935;13563.12
6900;183898.47;154953;219201;12445.54
7000;185857.87;119509;218979;12394.52
7100;189250.95;158312;222231;12289.47
7200;192019.18;122126;220626;12611.32
7300;193640.02;120311;224165;17529.62
7400;197530.54;169775;225469;12602.71
7500;199564.72;125323;239165;17212.16
7600;202669.27;128681;246081;14091.83
7700;206350.20;185003;233781;11614.43
7800;212069.72;140925;258574;15180.01
7900;214831.43;124010;255369;15525.40
8000;213238.52;133700;262476;19201.97
8100;218566.06;140510;257790;18891.86
8200;220393.44;136364;252707;17869.30
8300;226222.60;138097;269379;18765.94
8400;226866.05;138698;267876;17702.26
8500;233125.77;143594;281030;19753.28
8600;235001.74;207983;274380;14584.96
8700;237602.56;149415;273482;18832.74
8800;237730.43;154383;287105;18512.50
8900;246077.67;217075;294013;14495.17
9000;246160.36;154446;282400;19519.00
9100;250108.76;155160;290163;19873.53
9200;252960.22;217998;293836;16103.66
9300;253731.00;157534;287593;19310.50
9400;259396.77;171012;306639;18254.27
9500;258956.19;156548;301355;21300.53
9600;264304.12;227077;319131;15384.65
9700;268902.59;224209;311759;16508.05
9800;267773.98;168110;326553;21662.34
9900;269921.45;173461;303285;18381.41
10000;276856.88;237255;344101;17781.99
