n;avg;min;max;standard_deviation
100;804.91;554;901;75.77
200;1734.50;1189;2055;184.68
300;2790.37;1919;3258;229.86
400;3836.82;2719;4368;324.86
500;5036.04;4371;5598;233.06
600;6026.60;4370;6749;434.97
700;7163.03;5143;7916;433.56
800;8421.10;6262;9199;467.64
900;9545.03;6867;10668;608.85
1000;10645.56;7670;12098;681.09
1100;11818.66;8353;12848;711.33
1200;12974.91;9371;14370;856.87
1300;14262.77;10803;15576;754.50
1400;15574.82;11101;16749;719.52
1500;16753.45;12309;18791;865.31
1600;18061.71;13132;20003;993.18
1700;19490.25;13352;20777;983.89
1800;20618.61;16459;21994;795.32
1900;21699.68;15519;23485;1123.07
2000;22929.01;17208;25306;1130.72
2100;24214.56;18088;26666;1148.69
2200;25055.67;18670;27954;1768.39
2300;26729.19;19681;29315;1413.26
2400;28045.89;25717;30527;855.74
2500;29296.90;21457;31686;1484.85
2600;30351.30;22003;34003;1486.39
2700;31563.60;23581;34518;1754.99
2800;33181.64;30741;36362;1103.65
2900;34188.43;26029;37057;1328.62
3000;35866.15;33523;38248;1123.50
3100;36797.91;26963;39841;1898.43
3200;37941.09;28558;40926;2131.47
3300;39754.68;29550;44651;1755.49
3400;40894.13;30359;45114;1920.28
3500;41939.10;29658;46010;2846.14
3600;43145.13;32000;49943;2536.30
3700;44665.03;33471;48464;2405.96
3800;45763.53;32822;48747;2449.55
3900;47321.01;38934;51259;1629.45
4000;48653.73;37573;53050;1893.31
4100;49501.70;36675;54311;3039.80
4200;50986.80;37664;57122;2767.37
4300;52320.55;39027;56291;2330.76
4400;53797.51;40705;58640;2170.12
4500;55080.57;42472;60538;2194.02
4600;56522.64;41893;61661;2264.14
4700;58033.53;54433;62509;1897.89
4800;59212.45;44923;63907;2386.23
4900;60373.33;46609;66293;2885.39
5000;61992.48;57423;66698;1833.09
5100;64009.49;59195;70106;2222.29
5200;64220.80;45632;70590;3212.61
5300;65402.21;47947;72877;3476.56
5400;66962.37;50125;72827;3746.47
5500;68123.55;51535;74316;3383.55
5600;69402.94;54072;74774;2528.78
5700;70723.57;51390;76434;3286.46
5800;72314.61;68085;80566;2354.37
5900;73860.38;53669;80107;3880.03
6000;74776.94;56351;82662;3350.37
6100;76482.04;55686;83411;2909.84
6200;77546.68;58189;84361;3725.41
6300;78958.20;58840;85600;4023.34
6400;80952.96;76975;87216;2169.42
6500;81644.20;59301;88923;4403.22
6600;83754.37;64042;89061;3165.03
6700;84080.14;60536;88944;3284.89
6800;86343.10;79952;94798;2488.34
6900;87675.28;67406;95740;4381.15
7000;88443.85;68664;97141;4068.14
7100;90007.74;84900;97318;2491.03
7200;91575.21;68117;97840;3356.48
7300;92430.64;68223;99674;4286.93
7400;93902.29;70040;103210;4327.91
7500;96354.33;91124;106152;3102.46
7600;97199.92;91129;103912;2821.25
7700;98324.73;92159;106834;2943.03
7800;99728.70;93323;106337;2865.35
7900;101581.54;95205;108966;2866.82
8000;102382.05;75885;112613;5190.91
8100;103822.91;98471;112604;3067.54
8200;105074.29;78597;115503;4827.27
8300;106550.76;81186;118236;5017.46
8400;107801.34;81678;115313;3916.39
8500;110307.39;83800;120792;5198.65
8600;110268.80;82326;119549;5734.28
8700;112040.55;84216;121380;5389.75
8800;113469.04;106636;119842;3143.35
8900;114638.16;85061;128076;4509.62
9000;116862.61;110140;127808;3346.99
9100;118235.70;112413;129694;3507.15
9200;119065.93;94222;129211;4277.58
9300;119925.01;90225;131891;4872.77
9400;122305.47;113001;130786;3612.77
9500;124033.60;115983;133704;3689.17
9600;123550.30;91338;133084;5333.43
9700;125974.07;93992;135002;4992.59
9800;125879.73;94810;135853;6708.93
9900;128017.34;96193;141380;6571.75
10000;130303.05;120638;140573;3506.02
