n;avg;min;max;standard_deviation
100;1456.00;1456;1456;0.00
200;3677.00;3677;3677;0.00
300;6478.00;6478;6478;0.00
400;7768.00;7768;7768;0.00
500;9430.00;9430;9430;0.00
600;12306.93;11112;12319;120.09
700;14048.00;14048;14048;0.00
800;15033.75;14850;15585;318.26
900;22371.88;19644;22546;689.19
1000;20406.00;20406;20406;0.00
1100;18416.18;15993;23120;3376.12
1200;25671.17;24959;26696;854.31
1300;30432.86;29678;30772;505.97
1400;31320.00;29367;32157;1278.54
1500;34494.05;34472;34507;16.90
1600;35133.17;32716;37649;2466.01
1700;38439.00;37333;40493;1507.22
1800;43825.98;41484;44274;893.18
1900;43617.78;42369;45571;1561.78
2000;48464.47;43442;50023;2246.24
2100;50986.20;49869;51731;912.19
2200;53092.76;51652;54271;832.57
2300;57636.38;52839;57877;533.09
2400;46017.30;34827;55173;10122.01
2500;60060.06;56858;62600;2733.75
2600;64238.10;59796;65074;1866.98
2700;68794.77;67532;69617;946.45
2800;74297.94;69974;75346;1648.75
2900;76535.28;67253;79929;3707.78
3000;73599.42;70963;75182;1908.62
3100;66670.44;53859;78051;10685.96
3200;78622.36;73438;82183;3317.26
3300;89753.07;73291;98892;7716.81
3400;87864.53;80847;93494;5505.46
3500;90665.66;85331;91634;1472.48
3600;94369.48;90800;101876;3808.89
3700;96902.04;90333;102351;5197.29
3800;95685.14;84829;106499;8231.40
3900;101435.19;91459;109124;7234.94
4000;112265.26;101972;119964;8319.80
4100;102611.87;68952;109625;9951.47
4200;111141.60;108497;113857;2060.54
4300;110078.45;102630;121808;6089.29
4400;106138.74;72995;128218;20832.04
4500;119289.34;108148;124311;3044.09
4600;126452.12;120045;132323;5188.69
4700;128620.92;117867;143029;9416.55
4800;122314.24;115487;131507;6245.97
4900;133836.12;118171;153530;14409.86
5000;131451.79;128664;145174;4580.28
5100;129341.06;120745;138660;7971.08
5200;136532.02;131520;144723;4867.73
5300;147450.60;138068;159785;7876.05
5400;147639.56;134870;159819;10069.39
5500;155366.54;143293;167914;9104.02
5600;154143.48;143932;164937;7010.32
5700;154109.79;140026;174575;12641.05
5800;163635.93;137467;173285;13219.76
5900;155996.90;141621;163775;7761.14
6000;174115.61;147782;198366;16643.65
6100;163510.43;145039;179976;11062.38
6200;152351.78;115319;173415;20331.52
6300;176029.26;114136;196327;17066.55
6400;178634.68;169268;187305;5645.34
6500;178553.23;168720;194292;8384.48
6600;179146.28;164109;191646;10723.38
6700;187918.13;173873;215073;13520.12
6800;186373.84;122465;203774;26294.81
6900;189879.11;175911;209337;11371.46
7000;201912.03;178504;224481;17608.87
7100;188238.89;177624;203979;9392.84
7200;193888.64;125352;224030;31981.84
7300;210440.46;189147;238849;15566.41
7400;216396.14;140670;235886;21608.63
7500;196988.58;124614;219914;32257.16
7600;213019.31;201008;225197;6965.91
7700;214445.85;208665;224077;5268.54
7800;216311.12;207628;227642;6702.12
7900;215708.58;183951;238637;16930.98
8000;225613.86;215024;235733;7462.20
8100;232547.93;214545;248036;12401.63
8200;230400.16;211559;247567;9663.11
8300;230936.08;209601;242272;9827.82
8400;240241.96;221695;267104;14730.15
8500;247664.54;224157;273722;16672.59
8600;245649.68;224468;261947;9367.49
8700;242481.74;219943;278263;12446.58
8800;251892.83;230779;268327;13836.86
8900;250996.04;239754;270670;8926.82
9000;258339.36;244856;278449;10443.58
9100;258454.86;232791;276505;13202.80
9200;254075.61;238172;269209;11043.94
9300;273767.79;257963;294549;13174.57
9400;271621.26;248818;298007;17767.86
9500;276629.95;247726;304700;17240.33
9600;282583.20;248242;308888;18239.02
9700;276413.44;258903;311160;13395.63
9800;277459.91;250432;304859;15890.85
9900;289596.79;260723;308013;14981.13
10000;276940.65;179282;304757;38119.53
