n;avg;min;max;standard_deviation
100;804.91;554;901;75.77
200;1741.32;1461;1891;89.65
300;2786.34;2527;3133;110.55
400;3851.76;3477;4262;149.75
500;4956.04;4519;5299;163.51
600;6105.28;5677;6521;167.52
700;7227.35;6709;7902;226.11
800;8406.13;7842;8973;241.65
900;9630.44;8785;10493;326.23
1000;10760.06;9970;11919;316.55
1100;11928.16;11077;13156;330.24
1200;13214.91;12581;14674;355.02
1300;14311.30;13292;15310;391.88
1400;15554.27;14545;17187;424.48
1500;16775.46;15565;18071;497.32
1600;18042.04;16890;19202;443.19
1700;19304.40;18301;20343;493.18
1800;20539.91;19489;21964;550.69
1900;21724.52;20433;23187;579.21
2000;23132.53;21780;24545;528.51
2100;24334.94;23256;26037;609.28
2200;25563.66;24312;27643;666.58
2300;26985.86;25472;29088;687.90
2400;28302.24;26294;30919;786.36
2500;29353.67;27786;31888;829.81
2600;30568.78;29016;32349;703.30
2700;31869.01;29848;33601;763.55
2800;33125.04;31419;35627;903.81
2900;34410.21;32884;36783;786.62
3000;35807.92;34247;38094;787.63
3100;37000.10;35073;40764;991.24
3200;38408.90;36578;40395;843.79
3300;39853.70;37921;42661;1008.65
3400;41184.45;39173;44414;1032.18
3500;42183.96;40229;45695;1054.59
3600;43523.09;40700;46242;1092.90
3700;44801.19;42012;47893;1100.80
3800;46255.58;43997;49286;1081.23
3900;47562.80;44885;51378;1157.72
4000;48803.23;46742;52091;1177.32
4100;50087.41;46990;54464;1317.89
4200;51569.44;47902;55088;1280.42
4300;52842.96;50029;55591;1306.07
4400;54349.57;51939;58493;1244.79
4500;55414.97;52697;59395;1324.97
4600;57046.50;53928;60631;1398.95
4700;58298.24;55689;63070;1344.84
4800;59348.89;56560;62884;1302.65
4900;60566.52;57619;63569;1306.19
5000;62000.46;58832;66884;1384.02
5100;63332.11;60097;67645;1433.83
5200;64910.00;61154;69422;1606.41
5300;66011.07;62598;70260;1690.50
5400;67555.29;64485;71876;1534.96
5500;68788.14;64518;73556;1829.14
5600;69906.27;66496;74533;1658.97
5700;71535.46;68283;75815;1499.08
5800;73061.38;69487;82062;2019.77
5900;74299.43;69932;78977;1727.85
6000;75402.84;70826;82341;2101.65
6100;76762.47;73442;83256;1833.90
6200;78316.36;75129;84814;1844.41
6300;79556.94;75892;87030;1919.93
6400;80960.29;77215;87105;1936.73
6500;82147.08;78666;87138;1857.70
6600;83520.48;80061;87151;1562.59
6700;85318.44;81435;95584;2280.52
6800;86727.07;82847;92089;1764.08
6900;87972.79;82976;93187;1943.60
7000;89277.15;85675;96421;2216.79
7100;90866.66;86526;98525;2199.09
7200;92289.30;87349;97288;2326.80
7300;93259.97;88738;99348;1984.14
7400;94792.64;89813;101754;2124.93
7500;96308.47;90950;103562;2372.53
7600;97587.91;92613;105338;2507.98
7700;98564.64;94832;105666;2142.80
7800;100093.74;95754;106724;2358.77
7900;101775.59;97308;109292;2421.21
8000;102969.16;98847;108853;2242.91
8100;104689.88;98674;112263;2554.50
8200;105985.22;100807;113541;2556.64
8300;106848.79;102598;113487;2318.24
8400;108637.70;101504;116811;2518.10
8500;109885.11;104208;119432;2530.80
8600;111102.81;105373;118461;2677.85
8700;112011.64;108002;119304;2529.34
8800;114098.84;107366;124797;2748.54
8900;115558.16;111315;124363;2313.57
9000;116998.14;111484;123675;2645.84
9100;118299.02;112816;127078;2511.59
9200;119552.03;113456;126565;2395.60
9300;121214.30;113574;129862;2997.91
9400;122453.29;114668;130149;2951.17
9500;123681.54;117040;131413;2987.11
9600;125285.13;118966;133827;2634.59
9700;126619.49;121252;137929;3028.36
9800;127497.74;121005;137213;3106.20
9900;128985.58;124016;137281;3196.30
10000;130762.77;123701;136755;2643.70
