n;avg;min;max;standard_deviation
100;1726.00;1726;1726;0.00
200;3343.00;3343;3343;0.00
300;6351.00;6351;6351;0.00
400;8255.00;8255;8255;0.00
500;10646.00;10646;10646;0.00
600;11845.96;11838;12634;79.20
700;14870.00;14870;14870;0.00
800;17799.50;17093;19919;1223.69
900;22105.54;22009;23618;382.12
1000;23860.00;23860;23860;0.00
1100;28061.54;26844;30425;1696.35
1200;28586.07;26891;29764;1413.04
1300;35776.73;32039;37456;2505.33
1400;37221.60;32302;39330;3220.63
1500;39333.10;36177;44707;4118.32
1600;41944.62;40358;43596;1618.68
1700;45829.80;43352;47164;1818.21
1800;58205.15;51044;59754;3034.59
1900;57915.39;49681;63180;6584.14
2000;59116.00;56823;59893;1114.74
2100;67607.00;60645;78050;8526.67
2200;66673.20;57739;74661;5397.37
2300;70033.83;58104;74596;5391.38
2400;69687.95;68621;70992;1179.56
2500;78517.78;74457;83391;4329.59
2600;77842.57;70210;86101;7788.15
2700;81851.65;71928;85288;4734.29
2800;97894.94;85109;101612;5103.59
2900;86443.14;79304;89546;2903.03
3000;91863.55;86892;103709;6626.67
3100;101564.38;94205;103673;3436.83
3200;98343.67;95308;102348;2722.28
3300;104462.35;98482;113265;5578.64
3400;109255.19;99428;124030;10461.00
3500;101166.44;91667;111508;7408.61
3600;121323.62;116019;124867;3306.73
3700;115316.38;107833;130616;7583.78
3800;117977.95;113256;122140;3631.46
3900;124681.51;119193;129606;4294.15
4000;140770.44;117024;153858;13901.73
4100;132459.44;117211;145310;9425.36
4200;132380.68;117971;144988;10488.70
4300;132680.73;124649;136859;5195.23
4400;148719.08;126417;164853;15390.84
4500;138344.17;125312;160449;14767.97
4600;146363.47;133218;163528;11175.59
4700;158908.06;147244;166280;5754.67
4800;154264.40;140296;167721;9462.38
4900;165360.19;140959;178703;15299.44
5000;153869.83;140367;177074;12512.58
5100;162487.14;156150;173152;6331.41
5200;176877.26;144686;187965;8300.78
5300;188499.18;177613;199547;8132.38
5400;168845.67;147224;180044;11975.63
5500;193487.00;183015;210879;9930.09
5600;194601.77;173377;215506;15797.17
5700;182638.30;163634;198422;12387.72
5800;183626.74;175251;199567;9039.93
5900;189588.50;183588;211776;8573.13
6000;191943.10;176006;208504;10799.42
6100;204169.58;184479;222753;15620.61
6200;203857.54;190530;222919;10629.42
6300;202645.59;181547;246315;17914.05
6400;205228.44;194242;225546;8646.23
6500;214619.88;204897;228393;9069.58
6600;216535.48;192220;232145;10474.58
6700;222358.08;189926;247536;19246.26
6800;237680.92;206175;277931;21714.76
6900;215710.76;194741;265225;18006.59
7000;238120.60;214464;268721;17796.48
7100;224992.03;211735;236815;9670.54
7200;242545.57;232723;256208;7604.59
7300;253132.40;231203;297331;21300.25
7400;246417.70;230380;280709;17303.83
7500;261167.66;227629;313104;24346.99
7600;258766.98;232627;273411;13210.63
7700;266489.59;236907;293421;19724.29
7800;259764.84;238076;274774;13760.67
7900;293053.96;265915;316774;17507.76
8000;270341.79;248411;295911;16380.55
8100;279167.91;243653;317811;23773.13
8200;286666.33;268099;302118;12791.14
8300;291026.81;260709;340924;23331.94
8400;281669.41;240171;328013;21480.02
8500;295659.19;268646;341334;26337.57
8600;309529.59;257451;346701;24593.53
8700;293111.92;272088;338412;20748.98
8800;319943.94;287338;385997;29077.08
8900;309251.47;270649;360090;31052.10
9000;318217.16;274332;356503;29261.45
9100;307967.21;270808;345272;22622.13
9200;340335.81;291284;378327;26972.03
9300;320037.31;271164;409653;42157.28
9400;335053.22;297697;407732;31841.29
9500;325367.74;292400;366701;25946.59
9600;330520.19;298568;351520;16761.67
9700;339130.70;281453;421878;38568.06
9800;350564.03;287492;384080;33648.09
9900;361479.04;310032;406317;32125.37
10000;365929.59;318943;429725;28508.70
