n;avg;min;max;standard_deviation
100;8;7;18;1.42
200;15;14;31;2.40
300;23;22;41;2.83
400;28;26;44;3.20
500;37;35;69;3.97
600;45;43;70;4.91
700;52;49;72;4.45
800;58;54;88;4.79
900;71;64;94;6.25
1000;75;69;99;5.29
1100;81;75;105;5.09
1200;85;79;114;5.65
1300;97;91;145;8.79
1400;98;92;120;6.05
1500;109;101;139;8.20
1600;113;106;158;7.08
1700;127;110;159;10.74
1800;124;118;142;5.35
1900;137;130;182;7.91
2000;146;137;204;10.20
2100;150;138;216;9.51
2200;163;150;200;9.45
2300;169;160;220;9.27
2400;174;164;217;8.99
2500;180;166;238;11.15
2600;191;179;244;12.35
2700;195;181;245;11.64
2800;208;188;266;13.08
2900;215;198;288;13.41
3000;219;201;251;9.58
3100;228;211;268;10.77
3200;235;221;292;13.07
3300;245;223;315;15.01
3400;250;233;291;11.53
3500;258;241;344;13.33
3600;264;243;332;14.76
3700;268;246;317;12.56
3800;282;258;323;12.31
3900;287;268;355;16.24
4000;297;275;359;13.62
4100;301;280;387;17.92
4200;301;277;374;15.23
4300;310;291;354;12.90
4400;317;293;407;17.59
4500;321;295;407;20.34
4600;333;308;382;15.63
4700;345;319;411;17.84
4800;347;318;412;18.67
4900;350;321;412;16.73
5000;361;333;415;15.63
5100;363;335;433;16.50
5200;379;352;455;19.65
5300;382;345;435;19.40
5400;394;365;438;15.02
5500;394;364;446;14.72
5600;410;377;504;18.45
5700;412;383;468;15.85
5800;424;380;501;20.65
5900;433;401;499;20.23
6000;437;410;509;19.02
6100;441;409;513;18.84
6200;443;403;517;21.87
6300;453;415;511;17.91
6400;457;418;532;22.23
6500;470;432;594;24.51
6600;481;449;630;25.54
6700;488;454;576;22.98
6800;488;449;594;24.17
6900;498;441;602;26.30
7000;511;464;593;22.44
7100;524;474;659;31.13
7200;519;476;584;20.49
7300;538;501;629;22.67
7400;532;500;654;26.66
7500;540;508;605;21.39
7600;546;514;617;20.61
7700;563;526;623;19.47
7800;566;534;636;19.31
7900;575;529;654;23.67
8000;580;548;639;20.32
8100;580;537;652;20.76
8200;593;548;659;21.46
8300;596;543;670;27.04
8400;607;572;739;22.67
8500;603;557;689;24.70
8600;620;577;721;25.06
8700;627;575;713;21.65
8800;644;609;734;22.26
8900;649;605;721;22.95
9000;660;620;766;23.96
9100;662;612;753;27.41
9200;661;623;756;23.61
9300;673;617;731;23.15
9400;679;629;798;30.37
9500;685;630;776;26.52
9600;689;635;806;28.15
9700;696;658;794;27.24
9800;716;661;814;32.44
9900;723;681;808;26.32
10000;732;680;864;33.77
