n;avg;min;max;standard_deviation
100;1412.66;886;1943;194.57
200;3243.72;2576;4415;336.77
300;5608.96;3924;7436;555.59
400;7700.28;6405;9335;689.14
500;10746.95;8273;13895;1053.86
600;13342.13;10230;17785;1471.60
700;15995.40;12728;20955;1587.26
800;18820.16;14789;24116;2083.04
900;21826.36;17319;28620;2207.72
1000;24670.74;18503;30866;2719.23
1100;28037.40;20909;35668;2949.32
1200;31117.27;24720;40779;3175.07
1300;33723.38;24836;44380;4015.35
1400;36836.31;30583;47746;3517.61
1500;40246.15;31253;48586;3986.75
1600;43346.28;34068;57336;4410.74
1700;46482.05;38269;57286;4198.22
1800;49587.75;39791;59525;4416.65
1900;53804.24;42353;72558;5392.92
2000;57621.62;46888;72457;5139.69
2100;60299.60;49410;77135;6083.84
2200;63610.05;52743;82531;5934.79
2300;66411.24;52072;83809;6999.83
2400;70455.69;53744;98373;7263.26
2500;73632.76;60959;95490;6386.54
2600;77820.23;61147;101266;7489.42
2700;81551.44;65665;99246;7545.96
2800;82999.90;66677;105509;7781.94
2900;87614.47;71104;106573;8625.36
3000;91323.47;73999;108943;7412.64
3100;92750.57;72554;118969;9366.13
3200;96664.78;80164;123287;9183.43
3300;100504.75;79135;128732;9530.38
3400;103785.25;85665;128202;8954.14
3500;107904.81;83586;133444;10469.63
3600;111088.49;88036;137915;10378.28
3700;115642.80;87825;149332;11210.65
3800;121169.47;94270;145740;10558.18
3900;123036.26;98525;152198;10959.58
4000;126875.47;100120;160416;12134.02
4100;130697.41;103023;177086;14716.89
4200;134053.73;108378;167198;12998.33
4300;141144.19;115450;169359;11587.27
4400;142081.45;113640;192481;14103.48
4500;142995.23;109834;170814;12148.86
4600;148540.92;114548;186129;13935.70
4700;153872.46;127792;197494;13625.17
4800;154188.56;127247;189180;15784.09
4900;159482.13;135318;196578;13554.61
5000;161986.38;133650;203899;13437.96
5100;165815.46;133861;211275;16792.72
5200;170588.06;138871;217897;15853.87
5300;172789.14;135768;236038;17402.90
5400;177260.83;146826;240868;15284.92
5500;181823.20;145644;229262;16371.08
5600;180452.55;137853;229233;17589.07
5700;189785.48;156375;241418;16459.76
5800;191667.83;154854;232408;18967.27
5900;197396.05;163863;237489;16662.16
6000;201292.58;167729;259872;18491.84
6100;206286.10;170129;257983;19434.77
6200;206626.30;170921;244743;15556.49
6300;208370.33;171985;273550;18731.59
6400;213515.16;163100;274135;18567.32
6500;216764.14;173070;275592;19530.94
6600;221899.72;187707;275892;17180.13
6700;227470.80;186460;284638;18842.83
6800;228473.90;179633;293718;20200.83
6900;233081.92;186806;286033;18457.97
7000;237283.23;187826;279692;20137.91
7100;242704.60;209292;291641;18089.08
7200;246286.71;193845;308781;23565.72
7300;247210.06;189815;305384;22119.17
7400;252664.62;201897;298316;21319.18
7500;258464.39;210157;327629;22858.78
7600;263682.15;209711;337129;21934.15
7700;264756.93;212619;322794;22896.09
7800;270368.41;215962;351147;27643.69
7900;271268.90;216902;352120;26574.28
8000;278689.57;237655;330988;21626.10
8100;282051.73;228764;332329;23098.20
8200;285549.58;222543;343388;24077.41
8300;284774.71;232073;348154;27153.89
8400;294461.25;248971;374772;26226.38
8500;299908.46;246831;377945;24265.06
8600;298442.60;235800;413914;28699.51
8700;304292.04;242619;361064;26145.70
8800;312690.54;221070;372540;25090.79
8900;311726.28;239110;417593;28465.88
9000;315253.74;243557;373733;27368.06
9100;315153.91;247693;385159;29389.14
9200;319931.81;254650;383233;29334.02
9300;325186.59;274271;400393;29569.89
9400;333519.35;267663;400173;28683.46
9500;335174.95;264645;430833;30550.19
9600;340794.79;290959;426857;30150.05
9700;345940.34;272684;415920;30700.25
9800;347143.62;275616;443147;33120.83
9900;349364.19;278236;446986;32354.68
10000;353493.34;271745;460175;34673.58
