n;avg;min;max;standard_deviation
100;850.79;701;1037;57.81
200;1919.42;1646;2345;145.44
300;3156.24;2763;3755;227.67
400;4339.99;3822;4848;215.71
500;5549.74;5069;6196;301.38
600;6773.19;5953;7553;350.95
700;8009.45;7166;9056;395.46
800;9297.68;8139;10557;456.92
900;10406.60;9469;11703;464.50
1000;11812.21;10431;13178;610.31
1100;13145.59;11775;14583;590.17
1200;14421.17;13250;16191;669.20
1300;15745.43;14116;17257;712.03
1400;17031.83;15608;19220;797.66
1500;18486.78;16769;20974;815.83
1600;19626.11;17555;21678;914.81
1700;20874.80;18891;22707;937.07
1800;22443.57;20481;24788;930.57
1900;23669.21;21749;25889;961.73
2000;24913.54;23150;27340;1020.45
2100;26503.32;23890;29784;1193.81
2200;27696.22;25434;29847;1069.33
2300;29267.84;26851;32155;1171.63
2400;30435.41;27979;33471;1262.17
2500;31779.29;28909;35645;1291.51
2600;33175.13;30090;36367;1308.01
2700;34677.48;31132;37645;1507.99
2800;35714.99;32562;38914;1430.64
2900;37579.54;34456;41953;1632.66
3000;38536.31;35647;42841;1415.75
3100;40242.28;36356;44635;1601.70
3200;41240.97;37470;45904;1859.81
3300;42514.62;38434;46859;1628.63
3400;44428.76;40919;47909;1633.32
3500;45479.08;41446;50324;1844.17
3600;46715.26;43112;50946;1648.91
3700;48367.29;44501;53642;2084.58
3800;50072.30;46798;54063;1789.66
3900;51042.92;46664;54807;1779.74
4000;52530.43;48190;57177;1935.21
4100;53791.25;48969;60111;2057.55
4200;56049.28;51619;63404;2429.00
4300;57085.32;52628;61382;2064.52
4400;57713.11;53245;63396;2452.42
4500;59474.78;54705;66916;2559.27
4600;61422.41;57225;66845;2181.05
4700;62804.66;57424;68095;2343.34
4800;63874.59;59409;72054;2689.09
4900;65353.82;59693;70989;2600.94
5000;66808.32;61958;71890;2320.27
5100;68452.74;62822;76182;2619.61
5200;69619.61;64564;76519;2657.06
5300;71420.22;65883;79851;2652.31
5400;72391.07;66662;81539;2900.66
5500;73512.22;68146;79941;2873.72
5600;75645.87;68833;86673;3317.89
5700;77187.01;71165;85814;3224.57
5800;78012.37;72731;85515;2712.30
5900;79967.74;74031;88218;3013.94
6000;81487.57;73641;91037;3362.61
6100;83057.13;76570;91312;3208.65
6200;83841.78;78474;90522;2892.59
6300;85210.46;79998;96000;3424.71
6400;87399.15;80287;95031;3495.98
6500;88255.70;80384;96595;3476.37
6600;89514.80;81215;97520;3554.21
6700;90969.78;84280;98441;3510.99
6800;93033.50;85902;102449;3507.99
6900;94395.76;84530;104580;3894.55
7000;95704.99;89606;103939;3620.77
7100;97449.31;89185;106236;3659.51
7200;99410.12;90918;107415;3905.00
7300;99861.79;92794;108708;3652.78
7400;101012.13;93290;109451;3718.70
7500;103303.27;93840;112782;4205.31
7600;104409.39;95573;114075;4018.05
7700;105704.50;97883;115843;3768.74
7800;107205.38;99308;116142;4147.81
7900;109766.35;101208;122462;4196.39
8000;110953.02;103048;119572;3757.44
8100;111589.45;102768;121902;4278.46
8200;113226.49;104959;124268;4009.57
8300;115247.43;105652;126695;4136.38
8400;116168.44;107771;127579;3975.37
8500;117204.77;106612;128184;4418.67
8600;119621.21;110508;131975;4390.33
8700;121629.88;112689;134380;5021.65
8800;121715.52;111978;131606;4182.00
8900;123441.62;114385;136953;4960.22
9000;125413.34;115856;134936;4556.57
9100;126702.34;116624;137963;5184.29
9200;127640.03;117314;139627;5015.33
9300;129496.98;120035;146482;4746.36
9400;131143.76;120301;142511;5098.88
9500;133145.27;122421;143449;5084.21
9600;133253.06;124165;147922;4428.59
9700;135763.97;123791;151078;5040.01
9800;136851.92;126048;152534;5121.80
9900;139297.23;129480;150955;5561.07
10000;139384.56;128783;150223;5121.22
